shipment_id,sku,shipped_qty,delivered_qty,delivered_date,damaged_flag,returned_flag
S-30,SKU-081,1,1,2024-03-06,0,1
S-31,SKU-169,1,0,2024-03-06,0,0
S-31,SKU-054,1,1,2024-03-06,0,0
S-32,SKU-070,1,1,2024-02-07,1,0
S-32,SKU-060,1,0,2024-02-07,0,0
S-32,SKU-056,1,1,2024-02-07,0,0
S-33,SKU-113,3,3,2024-01-05,0,0
S-33,SKU-032,2,2,2024-01-05,0,0
S-33,SKU-097,1,1,2024-01-05,0,0
S-34,SKU-098,1,1,2024-01-29,0,1
S-34,SKU-013,2,2,2024-01-29,0,0
S-35,SKU-198,2,2,2024-02-26,0,0
S-35,SKU-051,1,1,2024-02-26,0,0
S-36,SKU-103,1,1,2024-02-26,0,0
S-36,SKU-053,1,1,2024-02-26,0,0
S-37,SKU-045,1,1,2024-04-10,0,0
S-38,SKU-130,1,0,2024-04-10,0,0
S-39,SKU-042,3,3,2024-01-16,0,0
S-40,SKU-032,1,1,2024-01-15,0,0
S-41,SKU-190,1,1,2024-04-28,0,0
S-41,SKU-092,3,3,2024-04-28,0,0
S-41,SKU-155,1,1,2024-04-28,0,0
S-41,SKU-126,1,0,2024-04-28,0,0
S-42,SKU-093,2,2,2024-03-03,0,0
S-42,SKU-024,2,2,2024-03-03,0,1
S-42,SKU-130,1,1,2024-03-03,0,0
S-43,SKU-029,1,1,2024-03-21,0,0
S-44,SKU-005,4,4,2024-03-03,0,0
S-46,SKU-098,1,1,2024-04-26,0,0
S-46,SKU-103,1,1,2024-04-26,0,0
S-47,SKU-108,1,1,2024-04-26,0,0
S-47,SKU-026,1,1,2024-04-26,0,0
S-48,SKU-167,1,1,2024-01-12,0,0
S-48,SKU-112,2,2,2024-01-12,0,0
S-48,SKU-077,2,1,2024-01-12,0,0
S-49,SKU-071,1,1,2024-03-03,0,0
S-49,SKU-005,2,2,2024-03-03,1,1
S-49,SKU-121,3,3,2024-03-03,0,0
S-50,SKU-003,2,2,2024-03-07,0,0
S-50,SKU-064,2,2,2024-03-07,0,0
S-50,SKU-046,1,1,2024-03-07,0,0
S-50,SKU-145,1,0,2024-03-07,0,0
S-51,SKU-178,1,1,2024-01-05,0,0
S-51,SKU-010,1,1,2024-01-05,0,1
S-51,SKU-121,3,3,2024-01-05,0,0
S-51,SKU-196,1,1,2024-01-05,0,0
S-52,SKU-096,1,1,2024-03-02,0,0
S-52,SKU-159,3,3,2024-03-02,0,0
S-53,SKU-108,3,3,2024-04-14,0,0
S-53,SKU-045,2,2,2024-04-14,0,0
S-54,SKU-172,1,1,2024-03-02,0,0
S-54,SKU-039,3,3,2024-03-02,0,0
S-55,SKU-190,1,1,2024-03-02,0,0
S-56,SKU-008,3,3,2024-02-26,0,1
S-56,SKU-042,1,1,2024-02-26,0,0
S-57,SKU-128,1,1,2024-02-26,0,0
S-58,SKU-161,1,1,2024-02-02,0,0
S-58,SKU-096,1,1,2024-02-02,0,0
S-59,SKU-068,1,1,2024-02-01,0,0
S-60,SKU-085,1,1,2024-04-26,0,1
S-60,SKU-007,1,1,2024-04-26,0,0
S-60,SKU-008,1,1,2024-04-26,0,0
S-61,SKU-105,1,1,2024-03-23,0,0
S-61,SKU-012,1,1,2024-03-23,0,0
S-61,SKU-139,2,2,2024-03-23,0,0
S-62,SKU-041,3,3,2024-04-02,0,0
S-62,SKU-044,2,2,2024-04-02,0,0
S-63,SKU-058,2,2,2024-02-27,0,0
S-63,SKU-090,1,1,2024-02-27,0,0
S-63,SKU-024,1,1,2024-02-27,0,0
S-64,SKU-122,2,2,2024-04-17,0,0
S-65,SKU-107,1,1,2024-01-26,0,0
S-65,SKU-035,1,1,2024-01-26,0,0
S-65,SKU-138,1,0,2024-01-26,0,0
S-65,SKU-113,2,2,2024-01-26,0,1
S-66,SKU-066,1,1,2024-04-23,0,0
S-66,SKU-083,1,1,2024-04-23,0,0
S-67,SKU-121,1,1,2024-04-24,0,0
S-67,SKU-033,1,1,2024-04-24,0,1
S-68,SKU-123,2,2,2024-02-23,0,0
S-68,SKU-192,1,1,2024-02-23,0,0
S-69,SKU-127,2,2,2024-02-23,0,0
S-70,SKU-057,1,1,2024-05-02,0,0
S-71,SKU-034,1,1,2024-01-23,0,0
S-71,SKU-037,1,1,2024-01-23,0,0
S-72,SKU-025,2,2,2024-03-13,0,0
S-72,SKU-184,1,1,2024-03-13,0,0
S-73,SKU-191,1,1,2024-03-13,0,0
S-73,SKU-104,1,0,2024-03-13,0,1
S-74,SKU-058,2,2,2024-04-28,0,0
S-74,SKU-048,3,3,2024-04-28,0,0
S-74,SKU-065,1,1,2024-04-28,0,0
S-75,SKU-152,2,2,2024-04-24,0,0
S-75,SKU-172,4,3,2024-04-24,0,0
S-76,SKU-148,2,2,2024-04-14,0,1
S-76,SKU-195,2,1,2024-04-14,0,0
S-77,SKU-069,1,1,2024-04-13,0,0
S-78,SKU-038,1,0,2024-03-12,0,0
S-78,SKU-170,1,1,2024-03-12,0,0
S-79,SKU-096,2,1,2024-03-12,0,0
S-80,SKU-162,2,2,2024-04-01,0,0
S-80,SKU-013,3,3,2024-04-01,0,0
S-81,SKU-051,2,2,2024-03-31,0,0
S-82,SKU-042,1,1,2024-04-26,0,0
S-82,SKU-163,4,4,2024-04-26,1,0
S-82,SKU-061,2,2,2024-04-26,0,0
S-82,SKU-009,4,4,2024-04-26,0,0
S-83,SKU-049,1,1,2024-01-25,0,0
S-83,SKU-089,3,3,2024-01-25,0,0
S-84,SKU-124,1,1,2024-01-25,0,0
S-84,SKU-161,1,1,2024-01-25,0,0
S-85,SKU-117,1,1,2024-03-08,0,0
S-87,SKU-140,1,0,2024-01-27,0,0
S-87,SKU-113,2,2,2024-01-27,0,1
S-87,SKU-068,1,1,2024-01-27,0,0
S-88,SKU-066,1,1,2024-01-11,0,0
S-88,SKU-088,3,3,2024-01-11,0,0
S-88,SKU-087,1,1,2024-01-11,0,0
S-88,SKU-048,1,1,2024-01-11,0,0
S-89,SKU-172,2,2,2024-02-21,0,0
S-89,SKU-088,2,1,2024-02-21,0,0
S-90,SKU-094,4,3,2024-03-12,0,0
S-90,SKU-017,3,3,2024-03-12,0,0
S-91,SKU-110,2,2,2024-03-12,0,0
S-91,SKU-165,1,1,2024-03-12,0,0
S-92,SKU-059,1,1,2024-01-26,0,0
S-92,SKU-118,1,1,2024-01-26,0,0
S-93,SKU-076,1,1,2024-04-17,0,0
S-93,SKU-183,4,4,2024-04-17,0,0
S-93,SKU-141,1,1,2024-04-17,0,0
S-94,SKU-116,1,1,2024-01-27,0,0
S-94,SKU-142,1,1,2024-01-27,0,0
S-94,SKU-022,1,1,2024-01-27,0,0
S-94,SKU-112,1,1,2024-01-27,0,0
S-95,SKU-050,1,1,2024-01-21,0,0
S-95,SKU-037,3,3,2024-01-21,0,0
S-95,SKU-175,1,1,2024-01-21,1,0
S-95,SKU-057,1,0,2024-01-21,0,0
S-96,SKU-200,1,1,2024-04-06,0,0
S-96,SKU-039,2,2,2024-04-06,0,0
S-96,SKU-154,1,1,2024-04-06,0,0
S-97,SKU-137,4,4,2024-01-26,0,0
S-97,SKU-013,2,1,2024-01-26,0,0
S-98,SKU-136,3,3,2024-01-24,0,0
S-98,SKU-178,1,1,2024-01-24,0,0
S-99,SKU-059,1,1,2024-01-24,0,0
S-100,SKU-026,2,2,2024-04-01,0,0
S-100,SKU-175,4,4,2024-04-01,0,0
S-101,SKU-058,1,1,2024-03-29,0,0
S-102,SKU-109,1,1,2024-01-27,0,1
S-102,SKU-157,1,1,2024-01-27,0,0
S-102,SKU-052,1,1,2024-01-27,0,0
S-102,SKU-139,1,1,2024-01-27,0,0
S-103,SKU-134,1,1,2024-01-18,0,0
S-103,SKU-108,3,3,2024-01-18,0,0
S-103,SKU-122,1,1,2024-01-18,0,0
S-103,SKU-100,1,1,2024-01-18,1,0
S-104,SKU-001,1,1,2024-03-02,0,0
S-105,SKU-182,1,1,2024-04-08,0,0
S-105,SKU-065,3,2,2024-04-08,0,0
S-106,SKU-054,3,3,2024-05-01,0,0
S-107,SKU-153,1,0,2024-01-23,0,0
S-107,SKU-018,2,1,2024-01-23,0,0
S-108,SKU-036,1,1,2024-05-02,0,1
S-108,SKU-037,2,2,2024-05-02,0,1
S-109,SKU-196,2,2,2024-01-06,0,0
S-109,SKU-063,1,1,2024-01-06,0,0
S-109,SKU-101,1,1,2024-01-06,0,0
S-109,SKU-041,1,1,2024-01-06,0,0
S-110,SKU-064,1,0,2024-04-29,0,0
S-111,SKU-019,2,2,2024-01-21,0,1
S-113,SKU-071,2,2,2024-04-04,0,1
S-113,SKU-103,1,1,2024-04-04,0,0
S-114,SKU-036,1,1,2024-04-04,0,0
S-115,SKU-053,3,2,2024-03-28,0,0
S-116,SKU-071,1,1,2024-04-28,0,0
S-116,SKU-195,2,2,2024-04-28,0,0
S-117,SKU-173,1,1,2024-04-26,0,0
S-117,SKU-037,1,1,2024-04-26,0,1
S-118,SKU-080,1,1,2024-01-19,0,0
S-118,SKU-027,2,2,2024-01-19,0,1
S-118,SKU-198,2,2,2024-01-19,0,0
S-118,SKU-135,1,1,2024-01-19,0,0
S-119,SKU-077,3,3,2024-04-06,0,0
S-119,SKU-139,1,1,2024-04-06,0,0
S-120,SKU-032,3,3,2024-04-06,0,0
S-121,SKU-019,1,1,2024-04-15,0,0
S-121,SKU-194,3,3,2024-04-15,0,0
S-122,SKU-011,2,2,2024-03-03,0,0
S-122,SKU-066,2,2,2024-03-03,0,0
S-122,SKU-098,1,1,2024-03-03,0,0
S-123,SKU-044,2,2,2024-01-04,0,0
S-123,SKU-150,1,1,2024-01-04,0,0
S-123,SKU-182,1,1,2024-01-04,0,0
S-124,SKU-027,1,1,2024-02-11,0,0
S-124,SKU-134,1,1,2024-02-11,0,0
S-124,SKU-023,1,1,2024-02-11,0,0
S-125,SKU-127,3,3,2024-04-22,0,0
S-125,SKU-062,1,1,2024-04-22,0,0
S-125,SKU-171,1,0,2024-04-22,0,0
S-126,SKU-164,2,2,2024-02-16,0,0
S-128,SKU-072,2,2,2024-04-27,0,0
S-128,SKU-198,1,0,2024-04-27,0,0
S-129,SKU-131,1,1,2024-02-01,0,0
S-129,SKU-085,3,3,2024-02-01,0,0
S-130,SKU-164,1,0,2024-01-30,0,0
S-131,SKU-026,3,2,2024-01-11,0,0
S-131,SKU-022,1,1,2024-01-11,0,0
S-131,SKU-004,1,0,2024-01-11,0,0
S-132,SKU-127,3,3,2024-02-01,0,0
S-134,SKU-152,1,1,2024-02-12,0,0
S-136,SKU-171,1,1,2024-04-10,0,0
S-136,SKU-200,1,1,2024-04-10,0,0
S-137,SKU-027,1,1,2024-04-11,0,0
S-137,SKU-069,3,3,2024-04-11,0,0
S-138,SKU-097,1,1,2024-03-06,1,0
S-139,SKU-133,1,1,2024-01-28,0,0
S-139,SKU-171,1,1,2024-01-28,0,0
S-139,SKU-098,1,1,2024-01-28,0,0
S-140,SKU-152,2,2,2024-03-09,0,0
S-140,SKU-165,1,1,2024-03-09,0,0
S-141,SKU-025,3,3,2024-01-25,0,0
S-142,SKU-196,1,1,2024-03-23,0,0
S-143,SKU-062,4,4,2024-03-24,0,0
S-144,SKU-182,1,1,2024-02-27,0,0
S-144,SKU-108,3,3,2024-02-27,1,0
S-145,SKU-155,1,1,2024-02-27,0,0
S-145,SKU-173,1,1,2024-02-27,0,0
S-146,SKU-134,1,1,2024-04-12,0,0
S-146,SKU-147,1,0,2024-04-12,0,0
S-146,SKU-118,2,2,2024-04-12,0,0
S-147,SKU-056,2,2,2024-01-25,0,0
S-147,SKU-146,1,1,2024-01-25,0,0
S-148,SKU-007,3,3,2024-01-26,0,0
S-148,SKU-172,1,1,2024-01-26,0,0
S-149,SKU-106,2,1,2024-03-05,1,0
S-149,SKU-075,1,1,2024-03-05,0,0
S-150,SKU-175,1,1,2024-04-04,0,0
S-150,SKU-092,1,1,2024-04-04,0,0
S-150,SKU-065,1,0,2024-04-04,0,0
S-151,SKU-071,2,2,2024-03-19,1,0
S-151,SKU-084,1,1,2024-03-19,0,0
S-151,SKU-013,1,1,2024-03-19,0,0
S-151,SKU-115,1,1,2024-03-19,0,0
S-152,SKU-143,2,2,2024-02-20,0,0
S-152,SKU-198,1,1,2024-02-20,0,0
S-153,SKU-103,2,2,2024-03-09,0,0
S-153,SKU-193,1,1,2024-03-09,0,0
S-154,SKU-190,1,1,2024-03-09,0,0
S-155,SKU-023,1,1,2024-03-07,0,0
S-156,SKU-091,4,4,2024-02-18,0,0
S-156,SKU-190,1,1,2024-02-18,0,0
S-156,SKU-138,2,2,2024-02-18,0,0
S-156,SKU-158,1,1,2024-02-18,0,0
S-157,SKU-164,1,1,2024-03-05,0,0
S-157,SKU-185,1,1,2024-03-05,0,0
S-158,SKU-024,3,3,2024-03-05,0,0
S-159,SKU-048,1,1,2024-01-24,0,0
S-159,SKU-164,1,0,2024-01-24,0,0
S-159,SKU-194,1,1,2024-01-24,0,0
S-159,SKU-128,1,1,2024-01-24,0,0
S-160,SKU-087,1,0,2024-04-08,1,1
S-160,SKU-113,1,1,2024-04-08,0,0
S-161,SKU-090,1,1,2024-04-08,0,0
S-161,SKU-093,1,1,2024-04-08,0,0
S-162,SKU-049,1,1,2024-04-19,0,0
S-162,SKU-029,3,3,2024-04-19,0,0
S-163,SKU-180,1,0,2024-03-07,0,0
S-163,SKU-165,1,1,2024-03-07,0,0
S-163,SKU-130,1,1,2024-03-07,0,0
S-164,SKU-138,1,1,2024-04-30,0,0
S-165,SKU-102,1,1,2024-02-21,0,0
S-165,SKU-179,1,1,2024-02-21,0,0
S-165,SKU-020,1,1,2024-02-21,0,0
S-165,SKU-159,1,1,2024-02-21,0,0
S-166,SKU-170,3,3,2024-02-10,0,0
S-167,SKU-184,2,2,2024-04-21,0,0
S-167,SKU-068,2,2,2024-04-21,0,0
S-167,SKU-038,1,1,2024-04-21,0,0
S-168,SKU-035,1,1,2024-03-01,0,0
S-169,SKU-102,1,1,2024-03-01,0,0
S-170,SKU-189,1,1,2024-01-17,1,0
S-171,SKU-146,3,3,2024-01-13,0,0
S-171,SKU-158,1,1,2024-01-13,0,0
S-171,SKU-083,2,2,2024-01-13,0,0
S-171,SKU-022,1,1,2024-01-13,0,0
S-172,SKU-040,1,1,2024-02-04,0,0
S-172,SKU-141,2,2,2024-02-04,0,0
S-172,SKU-171,1,1,2024-02-04,0,0
S-172,SKU-071,2,2,2024-02-04,0,0
S-173,SKU-063,3,3,2024-03-09,0,0
S-174,SKU-058,1,1,2024-03-08,0,0
S-175,SKU-038,1,0,2024-04-03,0,0
S-176,SKU-063,1,1,2024-01-12,0,0
S-176,SKU-076,1,1,2024-01-12,0,0
S-176,SKU-006,3,3,2024-01-12,0,0
S-177,SKU-107,1,1,2024-03-12,0,0
S-177,SKU-142,1,1,2024-03-12,0,0
S-177,SKU-146,1,1,2024-03-12,0,0
S-177,SKU-143,3,3,2024-03-12,0,0
S-178,SKU-149,3,3,2024-01-07,0,0
S-180,SKU-148,1,1,2024-04-10,0,1
S-181,SKU-161,3,3,2024-04-10,0,0
S-182,SKU-181,3,3,2024-04-02,0,0
S-183,SKU-094,1,1,2024-04-09,0,0
S-183,SKU-068,1,0,2024-04-09,0,0
S-184,SKU-111,1,1,2024-04-10,0,0
S-184,SKU-095,2,2,2024-04-10,0,0
S-185,SKU-178,1,1,2024-01-12,0,0
S-185,SKU-083,2,2,2024-01-12,0,0
S-185,SKU-035,1,1,2024-01-12,0,0
S-185,SKU-020,1,1,2024-01-12,0,0
S-186,SKU-025,2,2,2024-01-10,0,0
S-186,SKU-130,1,1,2024-01-10,0,0
S-187,SKU-081,1,1,2024-03-17,0,0
S-187,SKU-027,2,2,2024-03-17,0,0
S-188,SKU-184,1,1,2024-01-04,0,0
S-188,SKU-090,2,2,2024-01-04,0,0
S-189,SKU-185,1,0,2024-01-04,0,0
S-190,SKU-014,3,3,2024-04-26,0,0
S-190,SKU-148,2,2,2024-04-26,0,0
S-191,SKU-069,1,1,2024-04-25,0,0
S-191,SKU-118,1,1,2024-04-25,0,0
S-192,SKU-017,1,1,2024-02-02,0,0
S-192,SKU-006,1,1,2024-02-02,0,0
S-192,SKU-044,1,0,2024-02-02,0,0
S-192,SKU-112,1,1,2024-02-02,0,0
S-193,SKU-089,2,2,2024-02-25,0,0
S-194,SKU-181,2,2,2024-04-06,0,0
S-194,SKU-038,1,1,2024-04-06,0,0
S-195,SKU-017,1,1,2024-01-25,0,0
S-196,SKU-008,1,1,2024-02-24,0,0
S-196,SKU-146,1,1,2024-02-24,0,0
S-196,SKU-187,1,1,2024-02-24,0,0
S-196,SKU-065,1,1,2024-02-24,0,0
S-197,SKU-102,1,1,2024-02-24,0,0
S-198,SKU-116,1,1,2024-03-08,0,0
S-198,SKU-170,3,2,2024-03-08,0,0
S-198,SKU-080,1,1,2024-03-08,0,0
S-199,SKU-060,1,1,2024-02-06,0,0
S-199,SKU-146,1,1,2024-02-06,0,1
S-200,SKU-131,1,1,2024-02-05,0,0
S-201,SKU-081,1,1,2024-01-07,0,0
S-201,SKU-151,1,1,2024-01-07,0,0
S-202,SKU-175,1,1,2024-01-09,0,0
S-203,SKU-151,2,1,2024-03-29,0,1
S-203,SKU-194,1,1,2024-03-29,0,0
S-203,SKU-092,1,1,2024-03-29,0,0
S-203,SKU-183,1,1,2024-03-29,0,0
S-204,SKU-106,4,3,2024-03-20,0,0
S-204,SKU-136,3,3,2024-03-20,0,0
S-205,SKU-195,1,1,2024-04-23,0,0
S-205,SKU-064,1,0,2024-04-23,0,0
S-205,SKU-199,1,0,2024-04-23,0,0
S-205,SKU-154,1,0,2024-04-23,1,0
S-206,SKU-031,4,4,2024-05-01,0,0
S-206,SKU-187,1,0,2024-05-01,0,0
S-207,SKU-104,1,1,2024-04-11,0,0
S-207,SKU-147,1,1,2024-04-11,0,0
S-208,SKU-025,1,1,2024-04-10,0,0
S-209,SKU-036,2,2,2024-02-22,0,0
S-209,SKU-122,1,1,2024-02-22,0,0
S-209,SKU-179,3,3,2024-02-22,0,0
S-210,SKU-080,1,1,2024-01-24,0,0
S-210,SKU-091,3,3,2024-01-24,0,0
S-210,SKU-046,1,1,2024-01-24,0,0
S-211,SKU-048,1,1,2024-02-20,0,0
S-211,SKU-024,1,1,2024-02-20,0,0
S-212,SKU-090,1,1,2024-03-19,0,0
S-212,SKU-166,1,1,2024-03-19,0,0
S-213,SKU-052,3,3,2024-03-18,0,0
S-213,SKU-059,2,2,2024-03-18,0,0
S-214,SKU-135,2,1,2024-03-02,0,0
S-215,SKU-156,1,1,2024-01-28,0,0
S-215,SKU-016,1,1,2024-01-28,0,0
S-215,SKU-006,1,0,2024-01-28,0,0
S-216,SKU-025,2,1,2024-02-24,0,0
S-217,SKU-136,4,4,2024-04-05,0,0
S-217,SKU-001,1,1,2024-04-05,0,1
S-218,SKU-084,3,3,2024-01-27,0,0
S-219,SKU-079,2,2,2024-04-25,0,0
S-220,SKU-008,3,3,2024-04-25,0,0
S-221,SKU-018,1,1,2024-01-24,0,0
S-221,SKU-096,2,2,2024-01-24,0,0
S-222,SKU-163,2,2,2024-05-03,0,0
S-224,SKU-128,1,1,2024-04-21,0,0
S-224,SKU-047,3,3,2024-04-21,0,0
S-225,SKU-089,3,3,2024-01-17,0,0
S-225,SKU-025,2,2,2024-01-17,0,0
S-226,SKU-096,1,1,2024-04-25,0,0
S-227,SKU-147,1,1,2024-04-25,0,0
S-228,SKU-130,1,1,2024-04-24,0,0
S-228,SKU-181,2,2,2024-04-24,0,0
S-228,SKU-198,1,1,2024-04-24,0,0
S-228,SKU-046,1,0,2024-04-24,0,0
S-229,SKU-010,1,1,2024-02-16,0,0
S-230,SKU-138,1,1,2024-02-17,0,0
S-231,SKU-090,1,1,2024-02-29,0,0
S-231,SKU-075,1,1,2024-02-29,0,0
S-231,SKU-028,1,1,2024-02-29,0,0
S-232,SKU-128,4,4,2024-02-26,0,0
S-232,SKU-043,2,2,2024-02-26,0,0
S-232,SKU-026,3,3,2024-02-26,0,1
S-232,SKU-050,2,1,2024-02-26,0,0
S-233,SKU-117,1,1,2024-03-23,0,1
S-234,SKU-115,1,0,2024-04-29,0,0
S-235,SKU-100,2,2,2024-04-29,0,0
S-236,SKU-017,1,1,2024-01-13,0,0
S-238,SKU-037,2,1,2024-05-02,0,0
S-238,SKU-064,1,0,2024-05-02,0,0
S-238,SKU-062,1,1,2024-05-02,0,0
S-238,SKU-094,1,1,2024-05-02,0,0
S-239,SKU-016,1,1,2024-03-04,0,0
S-239,SKU-092,2,2,2024-03-04,0,0
S-239,SKU-123,1,1,2024-03-04,0,0
S-240,SKU-170,1,1,2024-02-20,0,0
S-240,SKU-024,2,2,2024-02-20,0,0
S-240,SKU-168,1,1,2024-02-20,0,0
S-241,SKU-148,1,1,2024-04-01,0,0
S-242,SKU-134,1,1,2024-04-03,0,0
S-243,SKU-194,2,1,2024-04-14,0,0
S-244,SKU-052,3,3,2024-05-02,0,0
S-244,SKU-165,1,0,2024-05-02,0,0
S-245,SKU-035,4,4,2024-02-12,0,0
S-245,SKU-196,1,1,2024-02-12,0,0
S-245,SKU-115,1,1,2024-02-12,0,0
S-246,SKU-022,2,2,2024-01-21,0,0
S-246,SKU-097,1,1,2024-01-21,0,0
S-246,SKU-112,3,3,2024-01-21,0,0
S-246,SKU-104,1,1,2024-01-21,0,0
S-247,SKU-144,1,1,2024-02-09,0,0
S-247,SKU-083,1,0,2024-02-09,0,0
S-247,SKU-124,3,3,2024-02-09,0,0
S-247,SKU-157,3,3,2024-02-09,0,0
S-248,SKU-176,2,2,2024-04-25,0,0
S-248,SKU-179,1,1,2024-04-25,0,0
S-249,SKU-198,2,2,2024-04-23,0,0
S-250,SKU-023,1,1,2024-02-05,0,1
S-250,SKU-049,1,1,2024-02-05,0,0
S-251,SKU-147,1,1,2024-03-16,0,1
S-251,SKU-139,1,1,2024-03-16,0,1
S-251,SKU-192,1,1,2024-03-16,0,1
S-251,SKU-045,4,4,2024-03-16,0,0
S-252,SKU-013,1,1,2024-02-13,0,0
S-254,SKU-099,2,2,2024-01-29,0,0
S-255,SKU-138,2,2,2024-01-23,0,0
S-255,SKU-014,1,1,2024-01-23,0,0
S-255,SKU-176,4,4,2024-01-23,0,0
S-255,SKU-091,4,4,2024-01-23,0,0
S-256,SKU-095,2,2,2024-02-11,0,0
S-256,SKU-131,1,1,2024-02-11,0,0
S-256,SKU-175,2,2,2024-02-11,0,0
S-257,SKU-048,3,2,2024-01-22,0,0
S-257,SKU-118,1,1,2024-01-22,0,0
S-257,SKU-057,1,1,2024-01-22,0,0
S-258,SKU-127,3,2,2024-04-18,0,0
S-260,SKU-164,2,2,2024-03-11,0,0
S-260,SKU-157,3,3,2024-03-11,0,0
S-260,SKU-147,1,0,2024-03-11,0,0
S-261,SKU-053,3,3,2024-04-24,0,0
S-262,SKU-075,1,1,2024-02-11,0,0
S-262,SKU-062,1,1,2024-02-11,0,0
S-262,SKU-169,1,1,2024-02-11,0,0
S-262,SKU-002,1,1,2024-02-11,0,0
S-263,SKU-103,1,1,2024-01-31,0,0
S-263,SKU-096,2,1,2024-01-31,1,0
S-264,SKU-012,1,1,2024-01-30,0,0
S-264,SKU-040,4,4,2024-01-30,0,0
S-265,SKU-109,1,1,2024-01-17,0,0
S-265,SKU-175,2,2,2024-01-17,0,0
S-265,SKU-067,2,2,2024-01-17,0,0
S-265,SKU-172,2,2,2024-01-17,0,0
S-266,SKU-177,1,1,2024-01-21,0,0
S-266,SKU-003,1,0,2024-01-21,0,0
S-266,SKU-105,4,4,2024-01-21,0,0
S-267,SKU-072,1,1,2024-01-14,0,0
S-268,SKU-049,1,1,2024-01-14,0,0
S-269,SKU-154,1,1,2024-01-30,0,0
S-269,SKU-003,2,1,2024-01-30,0,0
S-270,SKU-179,1,1,2024-02-18,0,0
S-271,SKU-197,2,2,2024-02-18,0,0
S-272,SKU-177,1,1,2024-04-19,0,1
S-273,SKU-170,1,0,2024-04-20,0,0
S-274,SKU-164,4,4,2024-02-21,0,0
S-275,SKU-018,1,1,2024-04-02,0,0
S-275,SKU-041,1,1,2024-04-02,0,0
S-276,SKU-126,1,1,2024-04-02,0,0
S-276,SKU-030,1,1,2024-04-02,0,0
S-277,SKU-066,2,2,2024-05-05,0,1
S-277,SKU-190,4,4,2024-05-05,0,0
S-278,SKU-138,1,1,2024-01-13,0,0
S-278,SKU-074,2,2,2024-01-13,0,0
S-278,SKU-073,1,1,2024-01-13,0,0
S-279,SKU-052,1,0,2024-03-27,1,0
S-279,SKU-102,1,1,2024-03-27,0,0
S-280,SKU-031,1,0,2024-03-27,0,0
S-280,SKU-195,1,1,2024-03-27,0,0
S-281,SKU-133,2,2,2024-04-02,0,0
S-282,SKU-033,1,1,2024-04-03,0,0
S-283,SKU-029,1,1,2024-03-06,0,0
S-283,SKU-123,1,1,2024-03-06,0,0
S-283,SKU-028,2,1,2024-03-06,0,0
