order_id,order_date,promised_delivery_date,customer_region,order_priority,order_channel,order_status
O-100100,2024-02-05,2024-02-12,Mpumalanga,Normal,Web,Completed
O-100101,2024-04-08,2024-04-16,Mpumalanga,Normal,Web,Completed
O-100102,2024-03-02,2024-03-08,Gauteng,Normal,Web,Completed
O-100103,2024-01-23,2024-01-25,Western Cape,Express,Mobile,Completed
O-100104,2024-03-02,2024-03-09,Mpumalanga,Normal,Web,Completed
O-100105,2024-01-19,2024-01-25,Mpumalanga,Normal,Web,Completed
O-100106,2024-03-16,2024-03-27,Gauteng,Normal,Mobile,Completed
O-100107,2024-02-21,2024-02-26,Mpumalanga,Normal,Mobile,Completed
O-100108,2024-04-08,2024-04-12,Western Cape,Normal,Mobile,Completed
O-100109,2024-01-23,2024-01-26,KwaZulu-Natal,Express,Mobile,Completed
O-100110,2024-02-27,2024-03-05,Free State,Normal,Mobile,Completed
O-100111,2024-03-27,2024-04-02,KwaZulu-Natal,Normal,Web,Completed
O-100112,2024-03-14,2024-03-21,Limpopo,Express,Web,Completed
O-100113,2024-02-15,2024-02-22,Mpumalanga,Normal,Web,Completed
O-100114,2024-03-06,2024-03-12,KwaZulu-Natal,Normal,Web,Completed
O-100115,2024-03-05,2024-03-10,Gauteng,Express,Web,Completed
O-100116,2024-02-14,2024-02-22,KwaZulu-Natal,Express,Web,Completed
O-100117,2024-03-01,2024-03-08,Mpumalanga,Normal,Mobile,Completed
O-100118,2024-01-19,2024-01-25,Free State,Normal,Web,Completed
O-100119,2024-04-01,2024-04-09,Mpumalanga,Normal,Mobile,Completed
O-100120,2024-04-14,2024-04-20,Gauteng,Normal,Web,Completed
O-100121,2024-03-03,2024-03-08,Gauteng,Normal,Web,Completed
O-100122,2024-04-26,2024-04-29,Mpumalanga,Express,Web,Completed
O-100123,2024-02-16,2024-02-22,KwaZulu-Natal,Express,Web,Completed
O-100124,2024-02-05,2024-02-14,KwaZulu-Natal,Normal,Web,Completed
O-100125,2024-04-14,2024-04-18,Free State,Normal,Mobile,Completed
O-100126,2024-02-23,2024-03-01,Limpopo,Normal,Mobile,Completed
O-100127,2024-01-12,2024-01-16,Gauteng,Express,Mobile,Completed
O-100128,2024-01-08,2024-01-15,Gauteng,Normal,Web,Completed
O-100129,2024-01-28,2024-02-05,Western Cape,Normal,Mobile,Completed
O-100130,2024-03-03,2024-03-10,Free State,Normal,Mobile,Completed
O-100131,2024-04-01,2024-04-07,Free State,Normal,Mobile,Completed
O-100132,2024-01-06,2024-01-11,Gauteng,Express,Web,Completed
O-100133,2024-03-06,2024-03-14,Free State,Normal,Web,Completed
O-100134,2024-01-05,2024-01-11,Gauteng,Normal,Mobile,Completed
O-100135,2024-04-05,2024-04-12,Mpumalanga,Express,Web,Completed
O-100136,2024-03-29,2024-04-03,Western Cape,Express,Web,Completed
O-100137,2024-04-07,2024-04-13,KwaZulu-Natal,Normal,Web,Completed
O-100138,2024-01-06,2024-01-12,Western Cape,Normal,Web,Completed
O-100139,2024-01-03,2024-01-10,Gauteng,Normal,Mobile,Completed
O-100140,2024-03-14,2024-03-18,Limpopo,Normal,Web,Completed
O-100141,2024-01-01,2024-01-06,Western Cape,Express,Web,Completed
O-100142,2024-04-22,2024-04-29,Gauteng,Express,Web,Completed
O-100143,2024-01-26,2024-02-04,KwaZulu-Natal,Normal,Mobile,Completed
O-100144,2024-02-19,2024-02-24,Free State,Express,Web,Completed
O-100145,2024-04-03,2024-04-11,Western Cape,Express,Web,Completed
O-100146,2024-01-23,2024-01-29,Gauteng,Express,Mobile,Completed
O-100147,2024-02-20,2024-02-26,Western Cape,Express,Mobile,Completed
O-100148,2024-02-19,2024-02-27,KwaZulu-Natal,Normal,Web,Completed
O-100149,2024-03-03,2024-03-10,Gauteng,Normal,Web,Completed
O-100150,2024-01-30,2024-02-04,KwaZulu-Natal,Normal,Mobile,Completed
O-100151,2024-01-04,2024-01-13,KwaZulu-Natal,Normal,Mobile,Completed
O-100152,2024-03-24,2024-03-31,Mpumalanga,Normal,Mobile,Completed
O-100153,2024-03-17,2024-03-25,Mpumalanga,Normal,Mobile,Completed
O-100154,2024-04-20,2024-04-27,Gauteng,Normal,Mobile,Completed
O-100155,2024-04-27,2024-05-02,Mpumalanga,Normal,Mobile,Completed
O-100156,2024-04-05,2024-04-11,Gauteng,Normal,Mobile,Completed
O-100157,2024-02-20,2024-02-25,Free State,Normal,Mobile,Completed
O-100158,2024-01-22,2024-01-27,Mpumalanga,Normal,Web,Completed
O-100159,2024-02-15,2024-02-22,Mpumalanga,Normal,Web,Completed
O-100160,2024-03-13,2024-03-20,Gauteng,Normal,Mobile,Completed
O-100161,2024-02-25,2024-03-01,Mpumalanga,Express,Web,Completed
O-100162,2024-01-26,2024-01-31,Limpopo,Express,Web,Completed
O-100163,2024-02-21,2024-02-28,KwaZulu-Natal,Normal,Mobile,Completed
O-100164,2024-03-30,2024-04-04,Gauteng,Express,Mobile,Completed
O-100165,2024-01-26,2024-02-03,KwaZulu-Natal,Normal,Mobile,Completed
O-100166,2024-04-20,2024-04-27,Limpopo,Express,Mobile,Completed
O-100167,2024-01-18,2024-01-25,Western Cape,Normal,Web,Completed
O-100168,2024-04-28,2024-05-02,Free State,Normal,Mobile,Completed
O-100169,2024-04-12,2024-04-17,Free State,Normal,Web,Completed
O-100170,2024-01-13,2024-01-20,Mpumalanga,Normal,Mobile,Completed
O-100171,2024-04-18,2024-04-25,Mpumalanga,Normal,Web,Completed
O-100172,2024-04-20,2024-04-28,KwaZulu-Natal,Normal,Web,Completed
O-100173,2024-02-10,2024-02-19,Mpumalanga,Normal,Mobile,Completed
O-100174,2024-02-25,2024-02-29,Limpopo,Normal,Mobile,Completed
O-100175,2024-02-22,2024-02-29,Western Cape,Normal,Mobile,Completed
O-100176,2024-03-15,2024-03-23,Western Cape,Normal,Web,Completed
O-100177,2024-04-28,2024-05-03,Mpumalanga,Normal,Mobile,Completed
O-100178,2024-01-06,2024-01-14,Western Cape,Normal,Mobile,Completed
O-100179,2024-04-27,2024-05-03,Western Cape,Normal,Web,Completed
O-100180,2024-02-26,2024-03-05,Gauteng,Normal,Web,Completed
O-100181,2024-02-14,2024-02-20,Mpumalanga,Express,Web,Completed
O-100182,2024-03-24,2024-03-30,Limpopo,Normal,Web,Completed
O-100183,2024-03-30,2024-04-05,Free State,Express,Mobile,Completed
O-100184,2024-04-09,2024-04-15,Limpopo,Normal,Web,Completed
O-100185,2024-04-29,2024-05-03,Free State,Normal,Web,Completed
O-100186,2024-02-09,2024-02-11,Limpopo,Express,Web,Completed
O-100187,2024-01-17,2024-01-24,Free State,Normal,Mobile,Completed
O-100188,2024-02-04,2024-02-13,Mpumalanga,Normal,Web,Completed
O-100189,2024-04-17,2024-04-25,Limpopo,Normal,Web,Completed
O-100190,2024-02-03,2024-02-08,Free State,Normal,Mobile,Completed
O-100191,2024-03-12,2024-03-21,Mpumalanga,Express,Mobile,Completed
O-100192,2024-02-04,2024-02-13,Limpopo,Normal,Web,Completed
O-100193,2024-01-26,2024-01-30,Limpopo,Express,Mobile,Completed
O-100194,2024-01-18,2024-01-25,Western Cape,Express,Mobile,Completed
O-100195,2024-02-07,2024-02-12,Limpopo,Normal,Web,Completed
O-100196,2024-01-17,2024-01-22,Limpopo,Express,Web,Completed
O-100197,2024-04-13,2024-04-20,KwaZulu-Natal,Normal,Web,Completed
O-100198,2024-03-07,2024-03-16,KwaZulu-Natal,Normal,Mobile,Completed
O-100199,2024-04-20,2024-04-28,Gauteng,Normal,Web,Completed
O-100200,2024-02-05,2024-02-10,Western Cape,Express,Mobile,Completed
O-100201,2024-01-27,2024-02-01,Western Cape,Normal,Web,Completed
O-100202,2024-01-10,2024-01-18,Limpopo,Normal,Mobile,Completed
O-100203,2024-01-13,2024-01-21,Mpumalanga,Normal,Mobile,Completed
O-100204,2024-01-08,2024-01-13,Gauteng,Normal,Web,Completed
O-100205,2024-01-27,2024-02-05,Limpopo,Normal,Web,Completed
O-100206,2024-02-12,2024-02-19,Limpopo,Normal,Mobile,Completed
O-100207,2024-04-13,2024-04-21,KwaZulu-Natal,Normal,Mobile,Completed
O-100208,2024-02-15,2024-02-23,Limpopo,Normal,Web,Completed
O-100209,2024-03-29,2024-04-05,Western Cape,Normal,Mobile,Completed
O-100210,2024-04-29,2024-05-06,Limpopo,Normal,Web,Completed
O-100211,2024-01-09,2024-01-17,KwaZulu-Natal,Normal,Mobile,Completed
O-100212,2024-03-26,2024-03-28,Western Cape,Express,Mobile,Completed
O-100213,2024-03-30,2024-04-02,Mpumalanga,Express,Web,Completed
O-100214,2024-03-03,2024-03-08,Mpumalanga,Normal,Web,Completed
O-100215,2024-02-16,2024-02-19,Free State,Normal,Mobile,Completed
O-100216,2024-01-26,2024-01-31,Limpopo,Normal,Web,Completed
O-100217,2024-03-15,2024-03-22,KwaZulu-Natal,Express,Mobile,Completed
O-100218,2024-03-31,2024-04-08,Western Cape,Normal,Mobile,Completed
O-100219,2024-02-23,2024-02-29,KwaZulu-Natal,Normal,Mobile,Completed
O-100220,2024-03-28,2024-04-05,Limpopo,Normal,Mobile,Completed
O-100221,2024-01-26,2024-02-02,Limpopo,Normal,Web,Completed
O-100222,2024-03-24,2024-04-01,Mpumalanga,Normal,Web,Completed
O-100223,2024-03-01,2024-03-08,Western Cape,Normal,Web,Completed
O-100224,2024-04-03,2024-04-09,Gauteng,Normal,Web,Completed
O-100225,2024-02-01,2024-02-07,Western Cape,Normal,Web,Completed
O-100226,2024-01-16,2024-01-22,Western Cape,Normal,Web,Completed
O-100227,2024-02-16,2024-02-22,Limpopo,Normal,Web,Completed
O-100228,2024-04-03,2024-04-07,Western Cape,Normal,Mobile,Completed
O-100229,2024-02-24,2024-03-01,KwaZulu-Natal,Express,Mobile,Completed
O-100230,2024-04-19,2024-04-29,Mpumalanga,Normal,Web,Completed
O-100231,2024-02-01,2024-02-06,KwaZulu-Natal,Normal,Web,Completed
O-100232,2024-04-28,2024-05-04,Gauteng,Normal,Mobile,Completed
O-100233,2024-03-12,2024-03-22,Free State,Normal,Mobile,Completed
O-100234,2024-04-06,2024-04-13,Free State,Normal,Web,Completed
O-100235,2024-02-01,2024-02-06,Mpumalanga,Express,Web,Completed
O-100236,2024-03-25,2024-04-01,Free State,Normal,Mobile,Completed
O-100237,2024-03-14,2024-03-20,Mpumalanga,Normal,Web,Completed
O-100238,2024-01-19,2024-01-25,Gauteng,Normal,Mobile,Completed
O-100239,2024-02-16,2024-02-22,Limpopo,Normal,Mobile,Completed
O-100240,2024-03-07,2024-03-10,Mpumalanga,Normal,Mobile,Completed
O-100241,2024-02-07,2024-02-12,Limpopo,Express,Mobile,Completed
O-100242,2024-04-25,2024-05-01,Limpopo,Express,Mobile,Completed
O-100243,2024-01-30,2024-02-06,Limpopo,Normal,Web,Completed
O-100244,2024-04-24,2024-04-30,Western Cape,Normal,Mobile,Completed
O-100245,2024-01-25,2024-02-01,Mpumalanga,Normal,Mobile,Completed
O-100246,2024-01-04,2024-01-13,Limpopo,Normal,Mobile,Completed
O-100247,2024-02-06,2024-02-13,Western Cape,Normal,Web,Completed
O-100248,2024-04-09,2024-04-13,Limpopo,Normal,Web,Completed
O-100249,2024-04-11,2024-04-16,Mpumalanga,Express,Mobile,Completed
O-100250,2024-03-25,2024-04-01,Gauteng,Normal,Mobile,Completed
O-100251,2024-01-12,2024-01-17,Western Cape,Normal,Mobile,Completed
O-100252,2024-01-17,2024-01-24,KwaZulu-Natal,Normal,Mobile,Completed
O-100253,2024-03-04,2024-03-12,KwaZulu-Natal,Normal,Mobile,Completed
O-100254,2024-02-22,2024-02-27,Gauteng,Normal,Web,Completed
O-100255,2024-02-09,2024-02-19,Western Cape,Normal,Mobile,Completed
O-100256,2024-04-13,2024-04-21,Mpumalanga,Normal,Web,Completed
O-100257,2024-01-22,2024-01-30,Limpopo,Normal,Mobile,Completed
O-100258,2024-04-08,2024-04-15,Gauteng,Express,Web,Completed
O-100259,2024-04-16,2024-04-22,Western Cape,Normal,Mobile,Completed
O-100260,2024-03-13,2024-03-20,Western Cape,Normal,Mobile,Completed
O-100261,2024-04-13,2024-04-20,Mpumalanga,Normal,Mobile,Completed
O-100262,2024-04-10,2024-04-18,Mpumalanga,Normal,Mobile,Completed
O-100263,2024-01-12,2024-01-18,Free State,Normal,Mobile,Completed
O-100264,2024-03-01,2024-03-07,Free State,Express,Mobile,Completed
O-100265,2024-01-12,2024-01-19,KwaZulu-Natal,Normal,Mobile,Completed
O-100266,2024-03-21,2024-03-27,Gauteng,Normal,Web,Completed
O-100267,2024-03-22,2024-03-26,Gauteng,Normal,Web,Completed
O-100268,2024-04-18,2024-04-24,Western Cape,Normal,Mobile,Completed
O-100269,2024-01-23,2024-01-30,Free State,Normal,Mobile,Completed
O-100270,2024-03-19,2024-03-25,Western Cape,Normal,Mobile,Completed
O-100271,2024-03-27,2024-04-04,KwaZulu-Natal,Express,Web,Completed
O-100272,2024-01-18,2024-01-26,Gauteng,Normal,Web,Completed
O-100273,2024-01-24,2024-01-31,Gauteng,Normal,Web,Completed
O-100274,2024-02-06,2024-02-15,KwaZulu-Natal,Normal,Web,Completed
O-100275,2024-01-15,2024-01-19,Limpopo,Express,Web,Completed
O-100276,2024-01-13,2024-01-23,Mpumalanga,Normal,Mobile,Completed
O-100277,2024-03-06,2024-03-15,Limpopo,Normal,Mobile,Completed
O-100278,2024-04-28,2024-05-07,Western Cape,Normal,Web,Completed
O-100279,2024-02-08,2024-02-11,Limpopo,Normal,Web,Completed
O-100280,2024-03-02,2024-03-08,Limpopo,Normal,Mobile,Completed
O-100281,2024-01-10,2024-01-13,Mpumalanga,Normal,Web,Completed
O-100282,2024-04-03,2024-04-09,Western Cape,Normal,Mobile,Completed
O-100283,2024-03-08,2024-03-16,Western Cape,Normal,Web,Completed
O-100284,2024-02-22,2024-02-26,Limpopo,Express,Web,Completed
O-100285,2024-03-28,2024-04-03,Limpopo,Normal,Mobile,Completed
O-100286,2024-04-10,2024-04-18,KwaZulu-Natal,Normal,Mobile,Completed
O-100287,2024-03-28,2024-04-04,Mpumalanga,Normal,Web,Completed
O-100288,2024-02-21,2024-02-27,Free State,Normal,Web,Completed
O-100289,2024-02-23,2024-03-02,Free State,Normal,Web,Completed
O-100290,2024-04-07,2024-04-13,Free State,Normal,Web,Completed
O-100291,2024-04-29,2024-05-07,Western Cape,Normal,Web,Completed
O-100292,2024-02-18,2024-02-22,Gauteng,Normal,Web,Completed
O-100293,2024-04-15,2024-04-22,Limpopo,Normal,Mobile,Completed
O-100294,2024-02-01,2024-02-08,Mpumalanga,Normal,Mobile,Completed
O-100295,2024-03-29,2024-04-06,Gauteng,Normal,Web,Completed
O-100296,2024-04-14,2024-04-18,Free State,Normal,Mobile,Completed
O-100297,2024-03-07,2024-03-14,Limpopo,Express,Web,Completed
O-100298,2024-02-09,2024-02-16,Western Cape,Express,Mobile,Completed
O-100299,2024-02-07,2024-02-14,Mpumalanga,Normal,Web,Completed
O-100300,2024-03-10,2024-03-16,Gauteng,Express,Web,Completed
O-100301,2024-03-17,2024-03-21,Western Cape,Express,Mobile,Completed
O-100302,2024-04-24,2024-04-29,Gauteng,Express,Web,Completed
O-100303,2024-03-17,2024-03-28,KwaZulu-Natal,Normal,Mobile,Completed
O-100304,2024-02-09,2024-02-16,Gauteng,Normal,Mobile,Completed
O-100305,2024-01-13,2024-01-20,KwaZulu-Natal,Express,Mobile,Completed
O-100306,2024-01-27,2024-02-01,Mpumalanga,Express,Mobile,Completed
O-100307,2024-02-27,2024-03-06,Gauteng,Normal,Web,Completed
O-100308,2024-02-01,2024-02-09,Free State,Normal,Mobile,Completed
O-100309,2024-04-09,2024-04-17,KwaZulu-Natal,Normal,Web,Completed
O-100310,2024-04-05,2024-04-09,Western Cape,Normal,Web,Completed
O-100311,2024-04-13,2024-04-19,KwaZulu-Natal,Normal,Web,Completed
O-100312,2024-04-21,2024-04-28,Limpopo,Normal,Mobile,Completed
O-100313,2024-04-05,2024-04-12,Western Cape,Express,Mobile,Completed
O-100314,2024-02-06,2024-02-16,Limpopo,Normal,Web,Completed
O-100315,2024-03-31,2024-04-07,KwaZulu-Natal,Normal,Mobile,Completed
O-100316,2024-04-27,2024-05-04,KwaZulu-Natal,Normal,Web,Completed
O-100317,2024-02-19,2024-02-28,KwaZulu-Natal,Express,Mobile,Completed
O-100318,2024-04-08,2024-04-15,Limpopo,Normal,Mobile,Completed
O-100319,2024-02-02,2024-02-11,Limpopo,Normal,Web,Completed
O-100320,2024-02-27,2024-03-03,Gauteng,Normal,Mobile,Completed
O-100321,2024-01-04,2024-01-13,KwaZulu-Natal,Normal,Web,Completed
O-100322,2024-04-28,2024-05-05,Mpumalanga,Express,Web,Completed
O-100323,2024-02-16,2024-02-25,Mpumalanga,Normal,Mobile,Completed
O-100324,2024-03-21,2024-03-24,Gauteng,Express,Web,Completed
O-100325,2024-02-16,2024-02-24,KwaZulu-Natal,Normal,Mobile,Completed
O-100326,2024-02-26,2024-03-02,Limpopo,Normal,Web,Completed
O-100327,2024-01-15,2024-01-19,KwaZulu-Natal,Normal,Web,Completed
O-100328,2024-01-24,2024-02-03,Limpopo,Normal,Mobile,Completed
O-100329,2024-02-29,2024-03-09,Gauteng,Normal,Web,Completed
O-100330,2024-03-19,2024-03-28,Western Cape,Normal,Mobile,Completed
O-100331,2024-04-02,2024-04-08,Gauteng,Normal,Mobile,Completed
O-100332,2024-01-20,2024-01-27,Western Cape,Express,Web,Completed
O-100333,2024-01-17,2024-01-22,Gauteng,Normal,Web,Completed
O-100334,2024-02-17,2024-02-22,Free State,Normal,Mobile,Completed
O-100335,2024-04-26,2024-05-01,Free State,Normal,Mobile,Completed
O-100336,2024-03-12,2024-03-18,Limpopo,Normal,Mobile,Completed
O-100337,2024-04-20,2024-04-24,Limpopo,Normal,Web,Completed
O-100338,2024-02-02,2024-02-09,Western Cape,Express,Web,Completed
O-100339,2024-02-20,2024-02-25,KwaZulu-Natal,Normal,Mobile,Completed
O-100340,2024-02-01,2024-02-06,Mpumalanga,Normal,Mobile,Completed
O-100341,2024-02-09,2024-02-14,KwaZulu-Natal,Normal,Mobile,Completed
O-100342,2024-02-02,2024-02-05,Mpumalanga,Express,Mobile,Completed
O-100343,2024-01-22,2024-01-30,Limpopo,Normal,Mobile,Completed
O-100344,2024-04-23,2024-04-28,KwaZulu-Natal,Express,Mobile,Completed
O-100345,2024-03-01,2024-03-06,KwaZulu-Natal,Normal,Web,Completed
O-100346,2024-04-12,2024-04-17,Western Cape,Normal,Mobile,Completed
O-100347,2024-03-24,2024-04-03,Limpopo,Normal,Web,Completed
O-100348,2024-03-24,2024-03-31,Free State,Normal,Mobile,Completed
O-100349,2024-01-03,2024-01-10,Limpopo,Normal,Mobile,Completed
O-100350,2024-03-22,2024-03-26,Free State,Normal,Web,Completed
O-100351,2024-02-14,2024-02-19,Gauteng,Normal,Web,Completed
O-100352,2024-01-08,2024-01-14,Mpumalanga,Express,Mobile,Completed
O-100353,2024-03-10,2024-03-17,Limpopo,Normal,Web,Completed
O-100354,2024-02-28,2024-03-05,Limpopo,Normal,Web,Completed
O-100355,2024-04-02,2024-04-08,Western Cape,Normal,Mobile,Completed
O-100356,2024-04-03,2024-04-08,Western Cape,Express,Web,Completed
O-100357,2024-01-20,2024-01-27,KwaZulu-Natal,Normal,Mobile,Completed
O-100358,2024-02-05,2024-02-14,Free State,Normal,Mobile,Completed
O-100359,2024-03-19,2024-03-26,Gauteng,Express,Mobile,Completed
O-100360,2024-04-24,2024-05-01,Mpumalanga,Normal,Mobile,Completed
O-100361,2024-01-18,2024-01-26,Free State,Normal,Mobile,Completed
O-100362,2024-01-08,2024-01-14,Gauteng,Normal,Web,Completed
O-100363,2024-03-18,2024-03-23,Free State,Normal,Mobile,Completed
O-100364,2024-02-10,2024-02-19,Free State,Normal,Web,Completed
O-100365,2024-04-29,2024-05-07,Gauteng,Normal,Web,Completed
O-100366,2024-01-17,2024-01-25,Western Cape,Normal,Mobile,Completed
O-100367,2024-04-10,2024-04-16,Gauteng,Normal,Mobile,Completed
O-100368,2024-02-16,2024-02-24,KwaZulu-Natal,Normal,Mobile,Completed
