shipment_id,order_id,warehouse,carrier,ship_date,expedite_flag
S-68,O-100050,WH-DBN,QuickShip,2024-02-20,0
S-69,O-100050,WH-DBN,QuickShip,2024-02-20,0
S-70,O-100051,WH-DBN,FastTrack,2024-04-29,0
S-71,O-100052,WH-JHB,EconoMove,2024-01-20,0
S-72,O-100053,WH-DBN,QuickShip,2024-03-12,1
S-73,O-100053,WH-DBN,QuickShip,2024-03-12,1
S-74,O-100054,WH-DBN,QuickShip,2024-04-25,0
S-75,O-100055,WH-JHB,QuickShip,2024-04-21,0
S-76,O-100056,WH-CPT,FastTrack,2024-04-11,0
S-77,O-100056,WH-CPT,FastTrack,2024-04-11,0
S-78,O-100057,WH-JHB,QuickShip,2024-03-08,0
S-79,O-100057,WH-JHB,QuickShip,2024-03-08,0
S-80,O-100058,WH-JHB,FastTrack,2024-03-27,0
S-81,O-100058,WH-JHB,FastTrack,2024-03-27,0
S-82,O-100059,WH-JHB,EconoMove,2024-04-20,0
S-83,O-100060,WH-JHB,QuickShip,2024-01-22,0
S-84,O-100060,WH-JHB,QuickShip,2024-01-22,0
S-85,O-100061,WH-DBN,QuickShip,2024-03-04,0
S-86,O-100061,WH-DBN,QuickShip,2024-03-04,0
S-87,O-100062,WH-DBN,QuickShip,2024-01-21,0
S-88,O-100063,WH-JHB,FastTrack,2024-01-08,0
S-89,O-100064,WH-DBN,EconoMove,2024-02-16,0
S-90,O-100065,WH-DBN,FastTrack,2024-03-07,0
S-91,O-100065,WH-DBN,FastTrack,2024-03-07,0
S-92,O-100066,WH-CPT,EconoMove,2024-01-20,0
S-93,O-100067,WH-JHB,FastTrack,2024-04-15,0
S-94,O-100068,WH-JHB,QuickShip,2024-01-23,0
S-95,O-100069,WH-DBN,FastTrack,2024-01-19,0
S-96,O-100070,WH-DBN,QuickShip,2024-04-04,0
S-97,O-100071,WH-JHB,QuickShip,2024-01-25,1
S-98,O-100072,WH-JHB,QuickShip,2024-01-22,0
S-99,O-100072,WH-JHB,QuickShip,2024-01-22,0
S-100,O-100073,WH-CPT,QuickShip,2024-03-29,0
S-101,O-100074,WH-CPT,FastTrack,2024-03-27,1
S-102,O-100075,WH-JHB,FastTrack,2024-01-23,0
S-103,O-100076,WH-DBN,FastTrack,2024-01-17,0
S-104,O-100077,WH-JHB,QuickShip,2024-02-29,0
S-105,O-100078,WH-JHB,QuickShip,2024-04-05,0
S-106,O-100079,WH-DBN,FastTrack,2024-04-27,0
S-107,O-100080,WH-CPT,FastTrack,2024-01-22,0
S-108,O-100081,WH-DBN,QuickShip,2024-04-28,0
S-109,O-100082,WH-JHB,FastTrack,2024-01-02,1
S-110,O-100083,WH-JHB,QuickShip,2024-04-27,0
S-111,O-100084,WH-JHB,QuickShip,2024-01-17,0
S-112,O-100084,WH-JHB,QuickShip,2024-01-17,0
S-113,O-100085,WH-JHB,FastTrack,2024-04-02,0
S-114,O-100085,WH-JHB,FastTrack,2024-04-02,0
S-115,O-100086,WH-CPT,FastTrack,2024-03-27,0
S-116,O-100087,WH-JHB,EconoMove,2024-04-24,0
S-117,O-100087,WH-JHB,EconoMove,2024-04-24,0
S-118,O-100088,WH-JHB,QuickShip,2024-01-17,0
S-119,O-100089,WH-JHB,FastTrack,2024-04-05,0
S-120,O-100089,WH-JHB,FastTrack,2024-04-05,0
S-121,O-100090,WH-CPT,QuickShip,2024-04-12,0
S-122,O-100091,WH-JHB,QuickShip,2024-02-29,0
S-123,O-100092,WH-JHB,QuickShip,2024-01-03,1
S-124,O-100093,WH-CPT,QuickShip,2024-02-07,0
S-125,O-100094,WH-CPT,EconoMove,2024-04-13,0
S-126,O-100095,WH-JHB,FastTrack,2024-02-14,0
S-127,O-100095,WH-JHB,FastTrack,2024-02-14,0
S-128,O-100096,WH-JHB,FastTrack,2024-04-24,0
S-129,O-100097,WH-DBN,FastTrack,2024-01-27,0
S-130,O-100097,WH-DBN,FastTrack,2024-01-27,0
S-131,O-100098,WH-JHB,QuickShip,2024-01-08,0
S-132,O-100099,WH-DBN,QuickShip,2024-01-30,0
S-133,O-100099,WH-DBN,QuickShip,2024-01-30,0
S-134,O-100100,WH-JHB,EconoMove,2024-02-06,0
S-135,O-100100,WH-JHB,EconoMove,2024-02-06,0
S-136,O-100101,WH-JHB,QuickShip,2024-04-08,0
S-137,O-100101,WH-JHB,QuickShip,2024-04-08,0
S-138,O-100102,WH-DBN,FastTrack,2024-03-05,0
S-139,O-100103,WH-JHB,FastTrack,2024-01-25,0
S-140,O-100104,WH-DBN,QuickShip,2024-03-06,0
S-141,O-100105,WH-DBN,FastTrack,2024-01-23,0
S-142,O-100106,WH-DBN,EconoMove,2024-03-18,0
S-143,O-100106,WH-DBN,EconoMove,2024-03-18,0
S-144,O-100107,WH-CPT,QuickShip,2024-02-23,0
S-145,O-100107,WH-CPT,QuickShip,2024-02-23,0
S-146,O-100108,WH-JHB,QuickShip,2024-04-10,0
S-147,O-100109,WH-JHB,FastTrack,2024-01-23,0
S-148,O-100109,WH-JHB,FastTrack,2024-01-23,0
S-149,O-100110,WH-CPT,QuickShip,2024-03-01,0
S-150,O-100111,WH-JHB,QuickShip,2024-03-29,0
S-151,O-100112,WH-JHB,EconoMove,2024-03-15,1
S-152,O-100113,WH-DBN,FastTrack,2024-02-19,0
S-153,O-100114,WH-CPT,FastTrack,2024-03-08,0
S-154,O-100114,WH-CPT,FastTrack,2024-03-08,0
S-155,O-100115,WH-CPT,FastTrack,2024-03-06,0
S-156,O-100116,WH-CPT,QuickShip,2024-02-16,0
S-157,O-100117,WH-DBN,QuickShip,2024-03-03,0
S-158,O-100117,WH-DBN,QuickShip,2024-03-03,0
S-159,O-100118,WH-DBN,QuickShip,2024-01-22,0
S-160,O-100119,WH-DBN,QuickShip,2024-04-04,0
S-161,O-100119,WH-DBN,QuickShip,2024-04-04,0
S-162,O-100120,WH-CPT,QuickShip,2024-04-16,0
S-163,O-100121,WH-DBN,FastTrack,2024-03-05,0
S-164,O-100122,WH-CPT,FastTrack,2024-04-27,0
S-165,O-100123,WH-DBN,QuickShip,2024-02-18,1
S-166,O-100124,WH-DBN,EconoMove,2024-02-06,0
S-167,O-100125,WH-DBN,FastTrack,2024-04-18,0
S-168,O-100126,WH-JHB,EconoMove,2024-02-25,0
S-169,O-100126,WH-JHB,EconoMove,2024-02-25,0
S-170,O-100127,WH-CPT,FastTrack,2024-01-15,0
S-171,O-100128,WH-CPT,QuickShip,2024-01-09,0
S-172,O-100129,WH-JHB,EconoMove,2024-01-29,0
S-173,O-100130,WH-DBN,FastTrack,2024-03-06,1
S-174,O-100130,WH-DBN,FastTrack,2024-03-06,1
S-175,O-100131,WH-DBN,FastTrack,2024-04-02,0
S-176,O-100132,WH-JHB,QuickShip,2024-01-08,0
S-177,O-100133,WH-DBN,EconoMove,2024-03-09,0
S-178,O-100134,WH-DBN,QuickShip,2024-01-06,0
S-179,O-100134,WH-DBN,QuickShip,2024-01-06,0
S-180,O-100135,WH-CPT,QuickShip,2024-04-07,0
S-181,O-100135,WH-CPT,QuickShip,2024-04-07,0
S-182,O-100136,WH-CPT,EconoMove,2024-03-29,1
S-183,O-100137,WH-CPT,FastTrack,2024-04-08,0
S-184,O-100137,WH-CPT,FastTrack,2024-04-08,0
S-185,O-100138,WH-DBN,QuickShip,2024-01-10,0
S-186,O-100139,WH-DBN,EconoMove,2024-01-06,0
S-187,O-100140,WH-JHB,FastTrack,2024-03-16,0
S-188,O-100141,WH-CPT,QuickShip,2024-01-03,1
S-189,O-100141,WH-CPT,QuickShip,2024-01-03,1
S-190,O-100142,WH-DBN,FastTrack,2024-04-23,0
S-191,O-100142,WH-DBN,FastTrack,2024-04-23,0
S-192,O-100143,WH-DBN,QuickShip,2024-01-29,0
S-193,O-100144,WH-CPT,QuickShip,2024-02-21,0
S-194,O-100145,WH-CPT,QuickShip,2024-04-04,1
S-195,O-100146,WH-JHB,QuickShip,2024-01-23,1
S-196,O-100147,WH-CPT,QuickShip,2024-02-21,0
S-197,O-100148,WH-JHB,QuickShip,2024-02-20,0
S-198,O-100149,WH-CPT,QuickShip,2024-03-05,0
S-199,O-100150,WH-JHB,EconoMove,2024-02-01,0
S-200,O-100150,WH-JHB,EconoMove,2024-02-01,0
S-201,O-100151,WH-DBN,EconoMove,2024-01-05,0
S-202,O-100151,WH-DBN,EconoMove,2024-01-05,0
S-203,O-100152,WH-DBN,EconoMove,2024-03-25,0
S-204,O-100153,WH-JHB,QuickShip,2024-03-17,0
S-205,O-100154,WH-JHB,FastTrack,2024-04-20,0
S-206,O-100155,WH-JHB,FastTrack,2024-04-29,0
S-207,O-100156,WH-CPT,QuickShip,2024-04-08,0
S-208,O-100156,WH-CPT,QuickShip,2024-04-08,0
S-209,O-100157,WH-CPT,FastTrack,2024-02-21,0
S-210,O-100158,WH-CPT,FastTrack,2024-01-23,0
S-211,O-100159,WH-CPT,QuickShip,2024-02-17,0
S-212,O-100160,WH-JHB,QuickShip,2024-03-15,0
S-213,O-100160,WH-JHB,QuickShip,2024-03-15,0
S-214,O-100161,WH-CPT,EconoMove,2024-02-26,0
S-215,O-100162,WH-DBN,FastTrack,2024-01-27,0
S-216,O-100163,WH-DBN,QuickShip,2024-02-22,0
S-217,O-100164,WH-DBN,QuickShip,2024-04-03,0
S-218,O-100165,WH-CPT,FastTrack,2024-01-26,1
S-219,O-100166,WH-DBN,QuickShip,2024-04-23,0
S-220,O-100166,WH-DBN,QuickShip,2024-04-23,0
S-221,O-100167,WH-CPT,QuickShip,2024-01-20,0
S-222,O-100168,WH-DBN,FastTrack,2024-05-02,0
S-223,O-100168,WH-DBN,FastTrack,2024-05-02,0
S-224,O-100169,WH-DBN,QuickShip,2024-04-16,0
S-225,O-100170,WH-CPT,QuickShip,2024-01-14,0
S-226,O-100171,WH-CPT,QuickShip,2024-04-21,0
S-227,O-100171,WH-CPT,QuickShip,2024-04-21,0
S-228,O-100172,WH-CPT,QuickShip,2024-04-22,0
S-229,O-100173,WH-CPT,EconoMove,2024-02-13,0
S-230,O-100173,WH-CPT,EconoMove,2024-02-13,0
S-231,O-100174,WH-DBN,FastTrack,2024-02-28,1
S-232,O-100175,WH-DBN,FastTrack,2024-02-25,0
S-233,O-100176,WH-CPT,EconoMove,2024-03-17,0
S-234,O-100177,WH-JHB,FastTrack,2024-04-28,0
S-235,O-100177,WH-JHB,FastTrack,2024-04-28,0
S-236,O-100178,WH-JHB,EconoMove,2024-01-08,0
S-237,O-100178,WH-JHB,EconoMove,2024-01-08,0
S-238,O-100179,WH-JHB,FastTrack,2024-04-29,0
S-239,O-100180,WH-CPT,QuickShip,2024-02-29,0
S-240,O-100181,WH-CPT,FastTrack,2024-02-17,0
S-241,O-100182,WH-DBN,FastTrack,2024-03-28,0
S-242,O-100183,WH-CPT,FastTrack,2024-04-01,1
S-243,O-100184,WH-JHB,QuickShip,2024-04-11,0
S-244,O-100185,WH-JHB,FastTrack,2024-05-01,0
S-245,O-100186,WH-JHB,FastTrack,2024-02-09,0
S-246,O-100187,WH-JHB,QuickShip,2024-01-17,0
S-247,O-100188,WH-JHB,EconoMove,2024-02-04,0
S-248,O-100189,WH-CPT,EconoMove,2024-04-19,1
S-249,O-100189,WH-CPT,EconoMove,2024-04-19,1
S-250,O-100190,WH-CPT,FastTrack,2024-02-04,0
S-251,O-100191,WH-DBN,EconoMove,2024-03-13,0
S-252,O-100192,WH-DBN,EconoMove,2024-02-07,0
S-253,O-100192,WH-DBN,EconoMove,2024-02-07,0
S-254,O-100193,WH-CPT,FastTrack,2024-01-28,1
S-255,O-100194,WH-DBN,QuickShip,2024-01-20,0
S-256,O-100195,WH-CPT,QuickShip,2024-02-10,0
S-257,O-100196,WH-DBN,QuickShip,2024-01-18,0
S-258,O-100197,WH-CPT,QuickShip,2024-04-16,0
S-259,O-100197,WH-CPT,QuickShip,2024-04-16,0
S-260,O-100198,WH-DBN,FastTrack,2024-03-09,0
S-261,O-100199,WH-JHB,QuickShip,2024-04-22,0
S-262,O-100200,WH-DBN,EconoMove,2024-02-06,0
S-263,O-100201,WH-JHB,FastTrack,2024-01-29,0
S-264,O-100201,WH-JHB,FastTrack,2024-01-29,0
S-265,O-100202,WH-CPT,EconoMove,2024-01-12,0
S-266,O-100203,WH-CPT,EconoMove,2024-01-16,0
S-267,O-100204,WH-CPT,FastTrack,2024-01-11,0
S-268,O-100204,WH-CPT,FastTrack,2024-01-11,0
S-269,O-100205,WH-DBN,QuickShip,2024-01-28,0
S-270,O-100206,WH-JHB,EconoMove,2024-02-12,0
S-271,O-100206,WH-JHB,EconoMove,2024-02-12,0
S-272,O-100207,WH-CPT,QuickShip,2024-04-15,0
S-273,O-100207,WH-CPT,QuickShip,2024-04-15,0
S-274,O-100208,WH-CPT,EconoMove,2024-02-17,0
S-275,O-100209,WH-CPT,QuickShip,2024-03-31,0
S-276,O-100209,WH-CPT,QuickShip,2024-03-31,0
S-277,O-100210,WH-CPT,QuickShip,2024-05-01,0
S-278,O-100211,WH-DBN,QuickShip,2024-01-12,0
S-279,O-100212,WH-JHB,FastTrack,2024-03-26,0
S-280,O-100212,WH-JHB,FastTrack,2024-03-26,0
S-281,O-100213,WH-CPT,FastTrack,2024-03-30,1
S-282,O-100213,WH-CPT,FastTrack,2024-03-30,1
S-283,O-100214,WH-JHB,FastTrack,2024-03-05,0
S-284,O-100215,WH-JHB,FastTrack,2024-02-18,0
S-285,O-100215,WH-JHB,FastTrack,2024-02-18,0
S-286,O-100216,WH-JHB,QuickShip,2024-01-27,0
S-287,O-100217,WH-CPT,QuickShip,2024-03-17,0
S-288,O-100217,WH-CPT,QuickShip,2024-03-17,0
S-289,O-100218,WH-CPT,FastTrack,2024-04-02,0
S-290,O-100219,WH-CPT,QuickShip,2024-02-24,1
S-291,O-100220,WH-JHB,EconoMove,2024-03-29,0
S-292,O-100221,WH-DBN,QuickShip,2024-01-28,0
S-293,O-100222,WH-CPT,QuickShip,2024-03-25,0
S-294,O-100223,WH-DBN,FastTrack,2024-03-05,0
S-295,O-100224,WH-JHB,FastTrack,2024-04-05,0
S-296,O-100225,WH-DBN,QuickShip,2024-02-03,0
S-297,O-100226,WH-JHB,FastTrack,2024-01-17,1
S-298,O-100227,WH-DBN,QuickShip,2024-02-19,0
S-299,O-100228,WH-DBN,FastTrack,2024-04-06,0
S-300,O-100229,WH-JHB,QuickShip,2024-02-24,0
S-301,O-100229,WH-JHB,QuickShip,2024-02-24,0
S-302,O-100230,WH-JHB,EconoMove,2024-04-20,0
S-303,O-100230,WH-JHB,EconoMove,2024-04-20,0
S-304,O-100231,WH-DBN,QuickShip,2024-02-05,0
S-305,O-100232,WH-DBN,FastTrack,2024-04-29,0
S-306,O-100233,WH-CPT,EconoMove,2024-03-13,0
S-307,O-100234,WH-JHB,QuickShip,2024-04-08,0
S-308,O-100235,WH-JHB,EconoMove,2024-02-03,0
S-309,O-100236,WH-DBN,FastTrack,2024-03-27,0
S-310,O-100237,WH-DBN,FastTrack,2024-03-16,0
S-311,O-100238,WH-DBN,QuickShip,2024-01-23,0
S-312,O-100239,WH-JHB,FastTrack,2024-02-17,0
S-313,O-100240,WH-JHB,FastTrack,2024-03-07,0
S-314,O-100241,WH-JHB,QuickShip,2024-02-07,0
S-315,O-100241,WH-JHB,QuickShip,2024-02-07,0
S-316,O-100242,WH-DBN,EconoMove,2024-04-27,1
S-317,O-100243,WH-CPT,EconoMove,2024-01-31,0
S-318,O-100244,WH-DBN,QuickShip,2024-04-26,0
S-319,O-100244,WH-DBN,QuickShip,2024-04-26,0
S-320,O-100245,WH-CPT,FastTrack,2024-01-27,0
S-321,O-100246,WH-CPT,EconoMove,2024-01-05,0
S-322,O-100247,WH-CPT,EconoMove,2024-02-09,0
S-323,O-100247,WH-CPT,EconoMove,2024-02-09,0
S-324,O-100248,WH-CPT,FastTrack,2024-04-10,0
S-325,O-100249,WH-CPT,FastTrack,2024-04-14,0
S-326,O-100250,WH-CPT,FastTrack,2024-03-27,0
S-327,O-100251,WH-JHB,QuickShip,2024-01-13,0
S-328,O-100252,WH-CPT,QuickShip,2024-01-19,0
S-329,O-100253,WH-DBN,EconoMove,2024-03-08,0
S-330,O-100254,WH-JHB,FastTrack,2024-02-23,0
S-331,O-100255,WH-CPT,EconoMove,2024-02-11,0
S-332,O-100256,WH-DBN,QuickShip,2024-04-17,0
S-333,O-100256,WH-DBN,QuickShip,2024-04-17,0
S-334,O-100257,WH-CPT,FastTrack,2024-01-25,0
S-335,O-100258,WH-CPT,EconoMove,2024-04-09,1
S-336,O-100259,WH-DBN,EconoMove,2024-04-18,0
S-337,O-100260,WH-DBN,QuickShip,2024-03-17,0
S-338,O-100261,WH-CPT,FastTrack,2024-04-16,0
S-339,O-100261,WH-CPT,FastTrack,2024-04-16,0
S-340,O-100262,WH-CPT,EconoMove,2024-04-13,0
S-341,O-100263,WH-CPT,FastTrack,2024-01-13,0
S-342,O-100264,WH-CPT,QuickShip,2024-03-03,0
S-343,O-100264,WH-CPT,QuickShip,2024-03-03,0
S-344,O-100265,WH-JHB,EconoMove,2024-01-13,0
S-345,O-100266,WH-CPT,QuickShip,2024-03-23,0
S-346,O-100267,WH-JHB,FastTrack,2024-03-24,0
S-347,O-100268,WH-CPT,FastTrack,2024-04-20,0
S-348,O-100269,WH-JHB,QuickShip,2024-01-23,0
S-349,O-100269,WH-JHB,QuickShip,2024-01-23,0
S-350,O-100270,WH-JHB,FastTrack,2024-03-19,0
S-351,O-100271,WH-CPT,QuickShip,2024-03-29,1
S-352,O-100272,WH-CPT,QuickShip,2024-01-19,0
S-353,O-100273,WH-DBN,FastTrack,2024-01-28,0
S-354,O-100273,WH-DBN,FastTrack,2024-01-28,0
S-355,O-100274,WH-DBN,QuickShip,2024-02-07,0
S-356,O-100275,WH-JHB,QuickShip,2024-01-15,1
S-357,O-100276,WH-CPT,EconoMove,2024-01-16,0
S-358,O-100277,WH-CPT,EconoMove,2024-03-07,0
S-359,O-100278,WH-CPT,QuickShip,2024-04-30,0
S-360,O-100278,WH-CPT,QuickShip,2024-04-30,0
S-361,O-100279,WH-JHB,FastTrack,2024-02-09,0
S-362,O-100280,WH-JHB,QuickShip,2024-03-03,0
S-363,O-100280,WH-JHB,QuickShip,2024-03-03,0
S-364,O-100281,WH-JHB,FastTrack,2024-01-10,0
S-365,O-100281,WH-JHB,FastTrack,2024-01-10,0
S-366,O-100282,WH-JHB,QuickShip,2024-04-04,0
S-367,O-100283,WH-DBN,QuickShip,2024-03-09,0
S-368,O-100283,WH-DBN,QuickShip,2024-03-09,0
S-369,O-100284,WH-DBN,QuickShip,2024-02-23,1
S-370,O-100285,WH-CPT,EconoMove,2024-03-29,1
S-371,O-100286,WH-CPT,QuickShip,2024-04-12,0
S-372,O-100287,WH-DBN,QuickShip,2024-03-31,0
S-373,O-100288,WH-JHB,QuickShip,2024-02-21,1
S-374,O-100289,WH-CPT,QuickShip,2024-02-24,0
S-375,O-100289,WH-CPT,QuickShip,2024-02-24,0
S-376,O-100290,WH-JHB,FastTrack,2024-04-09,0
S-377,O-100291,WH-DBN,FastTrack,2024-05-02,0
S-378,O-100291,WH-DBN,FastTrack,2024-05-02,0
S-379,O-100292,WH-JHB,QuickShip,2024-02-19,0
S-380,O-100293,WH-DBN,QuickShip,2024-04-17,0
S-381,O-100293,WH-DBN,QuickShip,2024-04-17,0
S-382,O-100294,WH-CPT,QuickShip,2024-02-02,0
S-383,O-100295,WH-CPT,QuickShip,2024-03-31,0
S-384,O-100296,WH-DBN,FastTrack,2024-04-17,0
S-385,O-100297,WH-DBN,EconoMove,2024-03-07,1
S-386,O-100297,WH-DBN,EconoMove,2024-03-07,1
S-387,O-100298,WH-DBN,QuickShip,2024-02-12,1
S-388,O-100298,WH-DBN,QuickShip,2024-02-12,1
S-389,O-100299,WH-CPT,QuickShip,2024-02-08,0
S-390,O-100300,WH-DBN,FastTrack,2024-03-13,0
S-391,O-100300,WH-DBN,FastTrack,2024-03-13,0
S-392,O-100301,WH-JHB,QuickShip,2024-03-18,0
S-393,O-100301,WH-JHB,QuickShip,2024-03-18,0
S-394,O-100302,WH-JHB,FastTrack,2024-04-25,0
S-395,O-100303,WH-CPT,EconoMove,2024-03-19,0
S-396,O-100303,WH-CPT,EconoMove,2024-03-19,0
S-397,O-100304,WH-DBN,FastTrack,2024-02-10,0
S-398,O-100305,WH-CPT,QuickShip,2024-01-14,0
S-399,O-100306,WH-CPT,FastTrack,2024-01-30,0
S-400,O-100306,WH-CPT,FastTrack,2024-01-30,0
S-401,O-100307,WH-CPT,EconoMove,2024-02-28,0
S-402,O-100308,WH-DBN,QuickShip,2024-02-02,0
S-403,O-100309,WH-JHB,EconoMove,2024-04-11,0
S-404,O-100309,WH-JHB,EconoMove,2024-04-11,0
S-405,O-100310,WH-DBN,FastTrack,2024-04-07,0
S-406,O-100311,WH-JHB,QuickShip,2024-04-13,1
S-407,O-100311,WH-JHB,QuickShip,2024-04-13,1
S-408,O-100312,WH-CPT,EconoMove,2024-04-24,0
S-409,O-100312,WH-CPT,EconoMove,2024-04-24,0
S-410,O-100313,WH-DBN,QuickShip,2024-04-07,0
S-411,O-100313,WH-DBN,QuickShip,2024-04-07,0
S-412,O-100314,WH-CPT,EconoMove,2024-02-09,0
S-413,O-100314,WH-CPT,EconoMove,2024-02-09,0
S-414,O-100315,WH-CPT,EconoMove,2024-04-03,0
S-415,O-100316,WH-JHB,QuickShip,2024-04-29,0
S-416,O-100317,WH-DBN,QuickShip,2024-02-23,0
S-417,O-100317,WH-DBN,QuickShip,2024-02-23,0
S-418,O-100318,WH-DBN,QuickShip,2024-04-09,0
S-419,O-100318,WH-DBN,QuickShip,2024-04-09,0
S-420,O-100319,WH-CPT,QuickShip,2024-02-05,0
S-421,O-100320,WH-CPT,FastTrack,2024-02-28,0
S-422,O-100321,WH-CPT,QuickShip,2024-01-05,0
S-423,O-100322,WH-DBN,FastTrack,2024-04-29,0
S-424,O-100322,WH-DBN,FastTrack,2024-04-29,0
S-425,O-100323,WH-CPT,QuickShip,2024-02-17,0
S-426,O-100324,WH-DBN,FastTrack,2024-03-23,0
S-427,O-100325,WH-DBN,QuickShip,2024-02-19,0
S-428,O-100326,WH-JHB,FastTrack,2024-02-28,0
S-429,O-100326,WH-JHB,FastTrack,2024-02-28,0
S-430,O-100327,WH-CPT,FastTrack,2024-01-17,0
S-431,O-100327,WH-CPT,FastTrack,2024-01-17,0
S-432,O-100328,WH-JHB,EconoMove,2024-01-24,0
S-433,O-100328,WH-JHB,EconoMove,2024-01-24,0
S-434,O-100329,WH-DBN,EconoMove,2024-03-01,0
S-435,O-100329,WH-DBN,EconoMove,2024-03-01,0
S-436,O-100330,WH-DBN,QuickShip,2024-03-23,0
S-437,O-100330,WH-DBN,QuickShip,2024-03-23,0
S-438,O-100331,WH-JHB,FastTrack,2024-04-02,0
S-439,O-100332,WH-CPT,QuickShip,2024-01-22,1
S-440,O-100332,WH-CPT,QuickShip,2024-01-22,1
S-441,O-100333,WH-CPT,FastTrack,2024-01-18,0
S-442,O-100334,WH-DBN,FastTrack,2024-02-19,0
S-443,O-100334,WH-DBN,FastTrack,2024-02-19,0
S-444,O-100335,WH-CPT,QuickShip,2024-04-28,0
S-445,O-100335,WH-CPT,QuickShip,2024-04-28,0
S-446,O-100336,WH-JHB,QuickShip,2024-03-12,0
S-447,O-100337,WH-CPT,FastTrack,2024-04-23,0
S-448,O-100338,WH-JHB,EconoMove,2024-02-02,0
S-449,O-100339,WH-CPT,FastTrack,2024-02-22,0
