order_id,order_date,promised_delivery_date,customer_region,order_priority,order_channel,order_status,order_delivered_date,in_full_order_flag,any_damage_flag,any_return_flag,order_revenue,delivered_revenue,lost_revenue_est,lines_count,total_ordered_qty,total_delivered_qty,warehouse,carrier,on_time_flag,otif_flag,perfect_order_flag,warehouse_processing_days,order_cycle_days,order_day
O-100041,2024-02-24,2024-02-29,Gauteng,Express,Web,Completed,2024-02-26,1,0,1,3471.15,3471.15,0.0,3,5,5,WH-JHB,FastTrack,1,1,0,0,2,2024-02-24
O-100042,2024-01-24,2024-02-02,Free State,Normal,Web,Completed,2024-02-02,1,0,0,7815.97,7815.97,0.0,3,3,3,WH-DBN,EconoMove,1,1,1,3,9,2024-01-24
O-100043,2024-04-21,2024-04-27,Limpopo,Express,Web,Completed,2024-04-26,1,0,1,4089.2,4089.2,0.0,3,3,3,WH-CPT,FastTrack,1,1,0,2,5,2024-04-21
O-100044,2024-03-20,2024-03-29,Limpopo,Normal,Mobile,Completed,2024-03-23,1,0,0,5566.7,5566.7,0.0,3,4,4,WH-DBN,QuickShip,1,1,1,1,3,2024-03-20
O-100045,2024-03-30,2024-04-08,KwaZulu-Natal,Normal,Web,Completed,2024-04-02,1,0,0,13379.57,13379.57,0.0,2,5,5,WH-DBN,FastTrack,1,1,1,1,3,2024-03-30
O-100046,2024-02-21,2024-02-28,Free State,Express,Web,Completed,2024-02-27,1,0,0,14681.45,14681.45,0.0,3,4,4,WH-DBN,QuickShip,1,1,1,1,6,2024-02-21
O-100047,2024-04-13,2024-04-18,Mpumalanga,Normal,Mobile,Completed,2024-04-17,1,0,0,1451.16,1451.16,0.0,1,2,2,WH-DBN,FastTrack,1,1,1,1,4,2024-04-13
O-100048,2024-01-23,2024-01-31,KwaZulu-Natal,Normal,Web,Completed,2024-01-26,0,0,1,9277.689999999999,4550.37,4727.32,4,5,4,WH-CPT,QuickShip,1,0,0,2,3,2024-01-23
O-100049,2024-04-21,2024-04-27,Limpopo,Normal,Web,Completed,2024-04-24,1,0,1,6988.97,6988.97,0.0,4,4,4,WH-CPT,QuickShip,1,1,0,0,3,2024-04-21
O-100050,2024-02-17,2024-02-26,Gauteng,Express,Mobile,Completed,2024-02-23,1,0,0,3060.8199999999997,3060.8199999999997,0.0,3,5,5,WH-DBN,QuickShip,1,1,1,3,6,2024-02-17
O-100051,2024-04-28,2024-05-07,Western Cape,Normal,Web,Completed,2024-05-02,1,0,0,1406.7,1406.7,0.0,1,1,1,WH-DBN,FastTrack,1,1,1,1,4,2024-04-28
O-100052,2024-01-20,2024-01-26,KwaZulu-Natal,Express,Web,Completed,2024-01-23,1,0,0,4527.679999999999,4527.679999999999,0.0,2,2,2,WH-JHB,EconoMove,1,1,1,0,3,2024-01-20
O-100053,2024-03-12,2024-03-19,KwaZulu-Natal,Express,Web,Completed,2024-03-13,0,0,1,9128.65,8169.12,959.53,4,5,4,WH-DBN,QuickShip,1,0,0,0,1,2024-03-12
O-100054,2024-04-21,2024-04-27,Mpumalanga,Normal,Web,Completed,2024-04-28,1,0,0,5141.71,5141.71,0.0,3,6,6,WH-DBN,QuickShip,0,0,0,4,7,2024-04-21
O-100055,2024-04-19,2024-04-23,KwaZulu-Natal,Normal,Mobile,Completed,2024-04-24,0,0,0,13289.720000000001,10987.44,2302.28,2,6,5,WH-JHB,QuickShip,0,0,0,2,5,2024-04-19
O-100056,2024-04-09,2024-04-15,Gauteng,Normal,Mobile,Completed,2024-04-14,0,0,1,7358.82,5272.049999999999,2086.77,3,5,4,WH-CPT,FastTrack,1,0,0,2,5,2024-04-09
O-100057,2024-03-07,2024-03-15,Western Cape,Normal,Web,Completed,2024-03-12,0,0,0,7198.16,4281.66,2916.5,3,4,2,WH-JHB,QuickShip,1,0,0,1,5,2024-03-07
O-100058,2024-03-26,2024-03-31,Mpumalanga,Normal,Web,Completed,2024-04-01,1,0,0,12780.999999999998,12780.999999999998,0.0,3,7,7,WH-JHB,FastTrack,0,0,0,1,6,2024-03-26
O-100059,2024-04-18,2024-04-26,Free State,Normal,Mobile,Completed,2024-04-26,1,1,0,12791.189999999999,12791.189999999999,0.0,4,11,11,WH-JHB,EconoMove,1,1,0,2,8,2024-04-18
O-100060,2024-01-21,2024-01-25,Mpumalanga,Normal,Web,Completed,2024-01-25,1,0,0,6621.280000000001,6621.280000000001,0.0,4,6,6,WH-JHB,QuickShip,1,1,1,1,4,2024-01-21
O-100061,2024-03-01,2024-03-09,Free State,Normal,Mobile,Completed,2024-03-08,1,0,0,453.18,453.18,0.0,1,1,1,WH-DBN,QuickShip,1,1,1,3,7,2024-03-01
O-100062,2024-01-17,2024-01-22,Western Cape,Express,Mobile,Completed,2024-01-27,0,0,1,10317.08,9165.9,1151.18,3,4,3,WH-DBN,QuickShip,0,0,0,4,10,2024-01-17
O-100063,2024-01-06,2024-01-09,Mpumalanga,Normal,Mobile,Completed,2024-01-11,1,0,0,15994.849999999999,15994.849999999999,0.0,4,6,6,WH-JHB,FastTrack,0,0,0,2,5,2024-01-06
O-100064,2024-02-15,2024-02-23,Mpumalanga,Express,Web,Completed,2024-02-21,0,0,0,3088.0,1657.52,1430.48,2,4,3,WH-DBN,EconoMove,1,0,0,1,6,2024-02-15
O-100065,2024-03-03,2024-03-09,KwaZulu-Natal,Normal,Mobile,Completed,2024-03-12,0,0,0,12576.599999999999,11025.579999999998,1551.02,4,10,9,WH-DBN,FastTrack,0,0,0,4,9,2024-03-03
O-100066,2024-01-18,2024-01-27,Free State,Normal,Mobile,Completed,2024-01-26,1,0,0,4978.67,4978.67,0.0,2,2,2,WH-CPT,EconoMove,1,1,1,2,8,2024-01-18
O-100067,2024-04-13,2024-04-19,Mpumalanga,Normal,Mobile,Completed,2024-04-17,1,0,0,3721.6000000000004,3721.6000000000004,0.0,3,6,6,WH-JHB,FastTrack,1,1,1,2,4,2024-04-13
O-100068,2024-01-23,2024-01-29,Western Cape,Normal,Web,Completed,2024-01-27,1,0,0,4240.05,4240.05,0.0,4,4,4,WH-JHB,QuickShip,1,1,1,0,4,2024-01-23
O-100069,2024-01-17,2024-01-23,KwaZulu-Natal,Express,Web,Completed,2024-01-21,0,1,0,9754.61,7339.16,2415.45,4,6,5,WH-DBN,FastTrack,1,0,0,2,4,2024-01-17
O-100070,2024-04-02,2024-04-08,Mpumalanga,Normal,Web,Completed,2024-04-06,1,0,0,7061.26,7061.26,0.0,3,4,4,WH-DBN,QuickShip,1,1,1,2,4,2024-04-02
O-100071,2024-01-24,2024-01-27,Western Cape,Express,Web,Completed,2024-01-26,0,0,0,10331.68,9198.220000000001,1133.46,2,6,5,WH-JHB,QuickShip,1,0,0,1,2,2024-01-24
O-100072,2024-01-20,2024-01-27,Free State,Normal,Web,Completed,2024-01-24,1,0,0,4881.72,4881.72,0.0,3,5,5,WH-JHB,QuickShip,1,1,1,2,4,2024-01-20
O-100073,2024-03-27,2024-04-05,Gauteng,Normal,Web,Completed,2024-04-01,1,0,0,6374.24,6374.24,0.0,2,6,6,WH-CPT,QuickShip,1,1,1,2,5,2024-03-27
O-100074,2024-03-26,2024-03-31,Gauteng,Normal,Web,Completed,2024-03-29,1,0,0,2085.71,2085.71,0.0,1,1,1,WH-CPT,FastTrack,1,1,1,1,3,2024-03-26
O-100075,2024-01-22,2024-01-27,Free State,Normal,Mobile,Completed,2024-01-27,1,0,1,6740.08,6740.08,0.0,4,4,4,WH-JHB,FastTrack,1,1,0,1,5,2024-01-22
O-100076,2024-01-15,2024-01-19,Mpumalanga,Normal,Web,Completed,2024-01-18,1,1,0,7172.350000000001,7172.350000000001,0.0,4,6,6,WH-DBN,FastTrack,1,1,0,2,3,2024-01-15
O-100077,2024-02-29,2024-03-05,Mpumalanga,Normal,Mobile,Completed,2024-03-02,1,0,0,4742.89,4742.89,0.0,1,1,1,WH-JHB,QuickShip,1,1,1,0,2,2024-02-29
O-100078,2024-04-05,2024-04-11,Limpopo,Normal,Mobile,Completed,2024-04-08,0,0,0,2950.0,2023.4,926.6,2,4,3,WH-JHB,QuickShip,1,0,0,0,3,2024-04-05
O-100079,2024-04-23,2024-04-29,Gauteng,Normal,Web,Completed,2024-05-01,1,0,0,4494.36,4494.36,0.0,1,3,3,WH-DBN,FastTrack,0,0,0,4,8,2024-04-23
O-100080,2024-01-19,2024-01-24,Limpopo,Normal,Mobile,Completed,2024-01-23,0,0,0,4629.51,980.78,3648.7299999999996,2,3,1,WH-CPT,FastTrack,1,0,0,3,4,2024-01-19
O-100081,2024-04-26,2024-05-04,Limpopo,Normal,Mobile,Completed,2024-05-02,1,0,1,4494.62,4494.62,0.0,2,3,3,WH-DBN,QuickShip,1,1,0,2,6,2024-04-26
O-100082,2024-01-01,2024-01-06,Gauteng,Normal,Web,Completed,2024-01-06,1,0,0,7460.219999999999,7460.219999999999,0.0,4,5,5,WH-JHB,FastTrack,1,1,1,1,5,2024-01-01
O-100083,2024-04-27,2024-05-01,Limpopo,Normal,Mobile,Completed,2024-04-29,0,0,0,189.38,0.0,189.38,1,1,0,WH-JHB,QuickShip,1,0,0,0,2,2024-04-27
O-100084,2024-01-16,2024-01-21,Western Cape,Normal,Web,Completed,2024-01-21,1,0,1,1226.36,1226.36,0.0,1,2,2,WH-JHB,QuickShip,1,1,0,1,5,2024-01-16
O-100085,2024-04-02,2024-04-07,Mpumalanga,Normal,Mobile,Completed,2024-04-04,1,0,1,11434.369999999999,11434.369999999999,0.0,3,4,4,WH-JHB,FastTrack,1,1,0,0,2,2024-04-02
O-100086,2024-03-26,2024-04-01,Limpopo,Normal,Web,Completed,2024-03-28,0,0,0,1023.4499999999999,682.3,341.15,1,3,2,WH-CPT,FastTrack,1,0,0,1,2,2024-03-26
O-100087,2024-04-22,2024-04-30,Limpopo,Normal,Web,Completed,2024-04-28,1,0,1,7582.08,7582.08,0.0,4,5,5,WH-JHB,EconoMove,1,1,0,2,6,2024-04-22
O-100088,2024-01-16,2024-01-22,Limpopo,Normal,Web,Completed,2024-01-19,1,0,1,5557.36,5557.36,0.0,4,6,6,WH-JHB,QuickShip,1,1,0,1,3,2024-01-16
O-100089,2024-04-03,2024-04-07,Free State,Normal,Web,Completed,2024-04-06,1,0,0,12092.39,12092.39,0.0,3,7,7,WH-JHB,FastTrack,1,1,1,2,3,2024-04-03
O-100090,2024-04-09,2024-04-17,Western Cape,Normal,Web,Completed,2024-04-15,1,0,0,5341.41,5341.41,0.0,2,4,4,WH-CPT,QuickShip,1,1,1,3,6,2024-04-09
O-100091,2024-02-27,2024-03-04,Limpopo,Normal,Mobile,Completed,2024-03-03,1,0,0,13753.470000000001,13753.470000000001,0.0,3,5,5,WH-JHB,QuickShip,1,1,1,2,5,2024-02-27
O-100092,2024-01-02,2024-01-09,Limpopo,Normal,Web,Completed,2024-01-04,1,0,0,2688.64,2688.64,0.0,3,4,4,WH-JHB,QuickShip,1,1,1,1,2,2024-01-02
O-100093,2024-02-04,2024-02-13,Limpopo,Normal,Web,Completed,2024-02-11,1,0,0,1809.07,1809.07,0.0,3,3,3,WH-CPT,QuickShip,1,1,1,3,7,2024-02-04
O-100094,2024-04-10,2024-04-19,KwaZulu-Natal,Normal,Mobile,Completed,2024-04-22,0,0,0,16775.45,14528.1,2247.35,3,5,4,WH-CPT,EconoMove,0,0,0,3,12,2024-04-10
O-100095,2024-02-13,2024-02-18,Limpopo,Normal,Mobile,Completed,2024-02-16,1,0,0,9291.66,9291.66,0.0,1,2,2,WH-JHB,FastTrack,1,1,1,1,3,2024-02-13
O-100096,2024-04-24,2024-04-28,Western Cape,Normal,Mobile,Completed,2024-04-27,0,0,0,2864.8900000000003,2590.28,274.61,2,3,2,WH-JHB,FastTrack,1,0,0,0,3,2024-04-24
O-100097,2024-01-26,2024-02-01,Gauteng,Normal,Web,Completed,2024-02-01,0,0,0,2772.55,1636.57,1135.98,3,5,4,WH-DBN,FastTrack,1,0,0,1,6,2024-01-26
O-100098,2024-01-07,2024-01-13,KwaZulu-Natal,Normal,Web,Completed,2024-01-11,0,0,0,2733.4,1324.13,1409.27,3,5,3,WH-JHB,QuickShip,1,0,0,1,4,2024-01-07
O-100099,2024-01-29,2024-02-03,Mpumalanga,Normal,Mobile,Completed,2024-02-01,1,0,0,3927.21,3927.21,0.0,1,3,3,WH-DBN,QuickShip,1,1,1,1,3,2024-01-29
O-100100,2024-02-05,2024-02-12,Mpumalanga,Normal,Web,Completed,2024-02-12,1,0,0,1634.75,1634.75,0.0,1,1,1,WH-JHB,EconoMove,1,1,1,1,7,2024-02-05
O-100101,2024-04-08,2024-04-16,Mpumalanga,Normal,Web,Completed,2024-04-11,1,0,0,7369.32,7369.32,0.0,4,6,6,WH-JHB,QuickShip,1,1,1,0,3,2024-04-08
O-100102,2024-03-02,2024-03-08,Gauteng,Normal,Web,Completed,2024-03-06,1,1,0,909.32,909.32,0.0,1,1,1,WH-DBN,FastTrack,1,1,0,3,4,2024-03-02
O-100103,2024-01-23,2024-01-25,Western Cape,Express,Mobile,Completed,2024-01-28,1,0,0,3217.23,3217.23,0.0,3,3,3,WH-JHB,FastTrack,0,0,0,2,5,2024-01-23
O-100104,2024-03-02,2024-03-09,Mpumalanga,Normal,Web,Completed,2024-03-09,1,0,0,8541.65,8541.65,0.0,2,3,3,WH-DBN,QuickShip,1,1,1,4,7,2024-03-02
O-100105,2024-01-19,2024-01-25,Mpumalanga,Normal,Web,Completed,2024-01-25,1,0,0,6529.26,6529.26,0.0,1,3,3,WH-DBN,FastTrack,1,1,1,4,6,2024-01-19
O-100106,2024-03-16,2024-03-27,Gauteng,Normal,Mobile,Completed,2024-03-24,1,0,0,4804.69,4804.69,0.0,2,5,5,WH-DBN,EconoMove,1,1,1,2,8,2024-03-16
O-100107,2024-02-21,2024-02-26,Mpumalanga,Normal,Mobile,Completed,2024-02-27,1,1,0,4988.01,4988.01,0.0,4,6,6,WH-CPT,QuickShip,0,0,0,2,6,2024-02-21
O-100108,2024-04-08,2024-04-12,Western Cape,Normal,Mobile,Completed,2024-04-12,0,0,0,11993.35,11474.6,518.75,3,4,3,WH-JHB,QuickShip,1,0,0,2,4,2024-04-08
O-100109,2024-01-23,2024-01-26,KwaZulu-Natal,Express,Mobile,Completed,2024-01-26,1,0,0,17869.42,17869.42,0.0,4,7,7,WH-JHB,FastTrack,1,1,1,0,3,2024-01-23
O-100110,2024-02-27,2024-03-05,Free State,Normal,Mobile,Completed,2024-03-05,0,1,0,6024.32,3526.17,2498.15,2,3,2,WH-CPT,QuickShip,1,0,0,3,7,2024-02-27
O-100111,2024-03-27,2024-04-02,KwaZulu-Natal,Normal,Web,Completed,2024-04-04,0,0,0,3585.04,2608.31,976.73,3,3,2,WH-JHB,QuickShip,0,0,0,2,8,2024-03-27
O-100112,2024-03-14,2024-03-21,Limpopo,Express,Web,Completed,2024-03-19,1,1,0,2902.2799999999997,2902.2799999999997,0.0,4,5,5,WH-JHB,EconoMove,1,1,0,1,5,2024-03-14
O-100113,2024-02-15,2024-02-22,Mpumalanga,Normal,Web,Completed,2024-02-20,1,0,0,1172.46,1172.46,0.0,2,3,3,WH-DBN,FastTrack,1,1,1,4,5,2024-02-15
O-100114,2024-03-06,2024-03-12,KwaZulu-Natal,Normal,Web,Completed,2024-03-09,1,0,0,3043.4,3043.4,0.0,3,4,4,WH-CPT,FastTrack,1,1,1,2,3,2024-03-06
O-100115,2024-03-05,2024-03-10,Gauteng,Express,Web,Completed,2024-03-07,1,0,0,1393.72,1393.72,0.0,1,1,1,WH-CPT,FastTrack,1,1,1,1,2,2024-03-05
O-100116,2024-02-14,2024-02-22,KwaZulu-Natal,Express,Web,Completed,2024-02-18,1,0,0,5060.36,5060.36,0.0,4,8,8,WH-CPT,QuickShip,1,1,1,2,4,2024-02-14
O-100117,2024-03-01,2024-03-08,Mpumalanga,Normal,Mobile,Completed,2024-03-05,1,0,0,3785.1400000000003,3785.1400000000003,0.0,3,5,5,WH-DBN,QuickShip,1,1,1,2,4,2024-03-01
O-100118,2024-01-19,2024-01-25,Free State,Normal,Web,Completed,2024-01-24,0,0,0,3751.63,3133.73,617.9,4,4,3,WH-DBN,QuickShip,1,0,0,3,5,2024-01-19
O-100119,2024-04-01,2024-04-09,Mpumalanga,Normal,Mobile,Completed,2024-04-08,0,1,1,7172.73,5421.88,1750.85,4,4,3,WH-DBN,QuickShip,1,0,0,3,7,2024-04-01
O-100120,2024-04-14,2024-04-20,Gauteng,Normal,Web,Completed,2024-04-19,1,0,0,6709.14,6709.14,0.0,2,4,4,WH-CPT,QuickShip,1,1,1,2,5,2024-04-14
O-100121,2024-03-03,2024-03-08,Gauteng,Normal,Web,Completed,2024-03-07,0,0,0,5190.05,4270.6900000000005,919.36,3,3,2,WH-DBN,FastTrack,1,0,0,2,4,2024-03-03
O-100122,2024-04-26,2024-04-29,Mpumalanga,Express,Web,Completed,2024-04-30,1,0,0,1724.51,1724.51,0.0,1,1,1,WH-CPT,FastTrack,0,0,0,1,4,2024-04-26
O-100123,2024-02-16,2024-02-22,KwaZulu-Natal,Express,Web,Completed,2024-02-21,1,0,0,8932.74,8932.74,0.0,4,4,4,WH-DBN,QuickShip,1,1,1,2,5,2024-02-16
O-100124,2024-02-05,2024-02-14,KwaZulu-Natal,Normal,Web,Completed,2024-02-10,1,0,0,2597.1000000000004,2597.1000000000004,0.0,1,3,3,WH-DBN,EconoMove,1,1,1,1,5,2024-02-05
O-100125,2024-04-14,2024-04-18,Free State,Normal,Mobile,Completed,2024-04-21,1,0,0,5224.62,5224.62,0.0,3,5,5,WH-DBN,FastTrack,0,0,0,4,7,2024-04-14
O-100126,2024-02-23,2024-03-01,Limpopo,Normal,Mobile,Completed,2024-03-01,1,0,0,5592.629999999999,5592.629999999999,0.0,2,2,2,WH-JHB,EconoMove,1,1,1,2,7,2024-02-23
O-100127,2024-01-12,2024-01-16,Gauteng,Express,Mobile,Completed,2024-01-17,1,1,0,1111.26,1111.26,0.0,1,1,1,WH-CPT,FastTrack,0,0,0,3,5,2024-01-12
O-100128,2024-01-08,2024-01-15,Gauteng,Normal,Web,Completed,2024-01-13,1,0,0,13378.25,13378.25,0.0,4,7,7,WH-CPT,QuickShip,1,1,1,1,5,2024-01-08
O-100129,2024-01-28,2024-02-05,Western Cape,Normal,Mobile,Completed,2024-02-04,1,0,0,8370.67,8370.67,0.0,4,6,6,WH-JHB,EconoMove,1,1,1,1,7,2024-01-28
O-100130,2024-03-03,2024-03-10,Free State,Normal,Mobile,Completed,2024-03-09,1,0,0,3679.71,3679.71,0.0,2,4,4,WH-DBN,FastTrack,1,1,1,3,6,2024-03-03
O-100131,2024-04-01,2024-04-07,Free State,Normal,Mobile,Completed,2024-04-03,0,0,0,1637.46,0.0,1637.46,1,1,0,WH-DBN,FastTrack,1,0,0,1,2,2024-04-01
O-100132,2024-01-06,2024-01-11,Gauteng,Express,Web,Completed,2024-01-12,1,0,0,6353.0599999999995,6353.0599999999995,0.0,3,5,5,WH-JHB,QuickShip,0,0,0,2,6,2024-01-06
